ticker,signal_date,entry_date,holding_deadline,expiry,right,leg_role,strike,selection_status,requested_root_unverified,observed_historical_option_root,signal_chain_tuple_present,exact_historical_series_verified,exact_deliverable_verified,reference_status,source_ids,local_action_count,requires_dated_security_master
CAT,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,near,1030.0,selected,CAT,,True,False,False,not_individually_researched_exact_master_missing,,0,True
DDOG,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,far,285.0,selected,DDOG,,True,False,False,not_individually_researched_exact_master_missing,,0,True
DDOG,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,near,282.5,selected,DDOG,,True,False,False,not_individually_researched_exact_master_missing,,0,True
DIS,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,far,109.0,selected,DIS,,True,False,False,not_individually_researched_exact_master_missing,,0,True
DIS,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,near,108.0,selected,DIS,,True,False,False,not_individually_researched_exact_master_missing,,0,True
ETSY,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,far,83.0,selected,ETSY,,True,False,False,not_individually_researched_exact_master_missing,,0,True
ETSY,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,near,82.0,selected,ETSY,,True,False,False,not_individually_researched_exact_master_missing,,0,True
F,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,far,17.5,selected,F,,True,False,False,root_terms_documented_exact_series_pending,F_56018;F_58991,0,True
F,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,near,17.0,selected,F,,True,False,False,root_terms_documented_exact_series_pending,F_56018;F_58991,0,True
FTNT,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,far,170.0,selected,FTNT,,True,False,False,local_older_split_only,,2,True
FTNT,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,near,167.5,selected,FTNT,,True,False,False,local_older_split_only,,2,True
HD,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,far,380.0,selected,HD,,True,False,False,not_individually_researched_exact_master_missing,,0,True
HD,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,near,375.0,selected,HD,,True,False,False,not_individually_researched_exact_master_missing,,0,True
LUV,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,far,53.0,selected,LUV,,True,False,False,not_individually_researched_exact_master_missing,,0,True
LUV,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,near,52.0,selected,LUV,,True,False,False,not_individually_researched_exact_master_missing,,0,True
MRK,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,far,130.0,selected,MRK,,True,False,False,adjusted_root_distinction_pending,MRK_48683,0,True
MRK,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,near,129.0,selected,MRK,,True,False,False,adjusted_root_distinction_pending,MRK_48683,0,True
PG,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,far,160.0,selected,PG,,True,False,False,not_individually_researched_exact_master_missing,,0,True
PG,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,near,157.5,selected,PG,,True,False,False,not_individually_researched_exact_master_missing,,0,True
RDW,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,far,24.5,selected,RDW,,True,False,False,not_individually_researched_exact_master_missing,,0,True
RDW,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,near,24.0,selected,RDW,,True,False,False,not_individually_researched_exact_master_missing,,0,True
S,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,far,18.0,selected,S,,True,False,False,issuer_identity_only,S_identity,0,True
S,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,near,17.5,selected,S,,True,False,False,issuer_identity_only,S_identity,0,True
ULTA,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,far,522.5,selected,ULTA,,True,False,False,not_individually_researched_exact_master_missing,,0,True
ULTA,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,near,520.0,selected,ULTA,,True,False,False,not_individually_researched_exact_master_missing,,0,True
WDAY,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,far,160.0,selected,WDAY,,True,False,False,not_individually_researched_exact_master_missing,,0,True
WDAY,2026-06-12,2026-06-15,2026-06-22,2026-06-26,C,near,157.5,selected,WDAY,,True,False,False,not_individually_researched_exact_master_missing,,0,True
ANF,2026-06-15,2026-06-16,2026-06-23,2026-06-26,C,far,110.0,selected,ANF,,True,False,False,not_individually_researched_exact_master_missing,,0,True
ANF,2026-06-15,2026-06-16,2026-06-23,2026-06-26,C,near,107.0,selected,ANF,,True,False,False,not_individually_researched_exact_master_missing,,0,True
LVS,2026-06-15,2026-06-16,2026-06-23,2026-06-26,C,far,55.0,selected,LVS,,True,False,False,not_individually_researched_exact_master_missing,,0,True
LVS,2026-06-15,2026-06-16,2026-06-23,2026-06-26,C,near,54.0,selected,LVS,,True,False,False,not_individually_researched_exact_master_missing,,0,True
MRVL,2026-06-15,2026-06-16,2026-06-23,2026-06-26,C,far,470.0,selected,MRVL,,True,False,False,not_individually_researched_exact_master_missing,,0,True
MRVL,2026-06-15,2026-06-16,2026-06-23,2026-06-26,C,near,460.0,selected,MRVL,,True,False,False,not_individually_researched_exact_master_missing,,0,True
ORCL,2026-06-15,2026-06-16,2026-06-23,2026-06-26,C,far,235.0,selected,ORCL,,True,False,False,not_individually_researched_exact_master_missing,,0,True
ORCL,2026-06-15,2026-06-16,2026-06-23,2026-06-26,C,near,232.5,selected,ORCL,,True,False,False,not_individually_researched_exact_master_missing,,0,True
QCOM,2026-06-15,2026-06-16,2026-06-23,2026-06-26,C,far,305.0,selected,QCOM,,True,False,False,not_individually_researched_exact_master_missing,,0,True
QCOM,2026-06-15,2026-06-16,2026-06-23,2026-06-26,C,near,300.0,selected,QCOM,,True,False,False,not_individually_researched_exact_master_missing,,0,True
CRM,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,far,185.0,selected,CRM,,True,False,False,local_older_split_only,,1,True
CRM,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,near,182.5,selected,CRM,,True,False,False,local_older_split_only,,1,True
DE,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,far,632.5,selected,DE,,True,False,False,local_older_split_only,,1,True
DE,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,near,630.0,selected,DE,,True,False,False,local_older_split_only,,1,True
DG,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,far,129.0,selected,DG,,True,False,False,not_individually_researched_exact_master_missing,,0,True
DG,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,near,128.0,selected,DG,,True,False,False,not_individually_researched_exact_master_missing,,0,True
ON,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,far,152.5,selected,ON,,True,False,False,not_individually_researched_exact_master_missing,,0,True
ON,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,near,150.0,selected,ON,,True,False,False,not_individually_researched_exact_master_missing,,0,True
ROKU,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,far,155.0,selected,ROKU,,True,False,False,not_individually_researched_exact_master_missing,,0,True
ROKU,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,near,152.5,selected,ROKU,,True,False,False,not_individually_researched_exact_master_missing,,0,True
SE,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,far,101.0,selected,SE,,True,False,False,foreign_listing_identity_only,SE_identity,0,True
SE,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,near,100.0,selected,SE,,True,False,False,foreign_listing_identity_only,SE_identity,0,True
SERV,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,far,9.5,selected,SERV,,True,False,False,issuer_history_collision,SERV_old;SERV_new,1,True
SERV,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,near,9.0,selected,SERV,,True,False,False,issuer_history_collision,SERV_old;SERV_new,1,True
VRT,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,far,370.0,selected,VRT,,True,False,False,not_individually_researched_exact_master_missing,,0,True
VRT,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,near,367.5,selected,VRT,,True,False,False,not_individually_researched_exact_master_missing,,0,True
WDC,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,far,930.0,selected,WDC,,True,False,False,adjusted_root_distinction_pending,WDC_56202,1,True
WDC,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,near,920.0,selected,WDC,,True,False,False,adjusted_root_distinction_pending,WDC_56202,1,True
ZS,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,far,152.5,selected,ZS,,True,False,False,not_individually_researched_exact_master_missing,,0,True
ZS,2026-06-16,2026-06-17,2026-06-24,2026-06-26,C,near,150.0,selected,ZS,,True,False,False,not_individually_researched_exact_master_missing,,0,True
Z,2026-06-17,2026-06-18,2026-06-25,,,none,,no_expiry_in_dte_band,,,False,False,False,not_applicable_no_selected_expiry,,0,False
