variant,ticker,signal_date,expiry,strike,leg,historical_quote_listing_status,source_path,deliverables_status
original,DDOG,2026-06-12,2026-06-26,285.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,DDOG,2026-06-12,2026-06-26,282.5,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,DIS,2026-06-12,2026-06-26,109.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,DIS,2026-06-12,2026-06-26,108.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,ETSY,2026-06-12,2026-06-26,83.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,ETSY,2026-06-12,2026-06-26,82.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,F,2026-06-12,2026-06-26,17.5,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,F,2026-06-12,2026-06-26,17.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,FTNT,2026-06-12,2026-06-26,170.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,FTNT,2026-06-12,2026-06-26,167.5,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,HD,2026-06-12,2026-06-26,380.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,HD,2026-06-12,2026-06-26,375.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,LUV,2026-06-12,2026-06-26,53.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,LUV,2026-06-12,2026-06-26,52.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,MRK,2026-06-12,2026-06-26,130.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
