ticker,signal_date,policy,timestamp,far_strike,near_strike,bid,ask,delta,stock,otm_pct,pass_basic
PLTR,2026-06-11,clock,2026-06-12 10:01:00,146.0,145.0,0.22,0.24,0.055400000000000005,128.44,13.6717533478667,True
PLTR,2026-06-11,hiro,2026-06-12 11:46:00-04:00,146.0,145.0,0.16,0.18,0.0451,128.65,13.486202876020204,False
RBLX,2026-06-11,clock,2026-06-12 10:01:00,48.5,48.0,0.13,0.3,0.1046,42.34,14.548889938592335,False
SPOT,2026-06-11,clock,2026-06-12 10:01:00,537.5,535.0,0.03,2.0100000000000002,0.06380000000000001,474.22,13.344017544599552,False
SPOT,2026-06-11,hiro,2026-06-12 12:51:00-04:00,537.5,535.0,0.03,1.6400000000000001,0.0644,488.0,10.143442622950815,False
T,2026-06-11,clock,2026-06-12 10:01:00,24.5,24.0,0.01,0.05,0.0765,23.18,5.6945642795513285,False
T,2026-06-11,hiro,2026-06-12 11:21:00-04:00,24.5,24.0,0.03,0.05,0.1041,23.42,4.61144321093081,False
TWLO,2026-06-11,clock,2026-06-12 10:01:00,242.5,240.0,0.0,2.4,0.101,203.72,19.03593167092088,False
TWLO,2026-06-11,hiro,2026-06-12 11:41:00-04:00,242.5,240.0,0.0,2.4,0.10110000000000001,203.84,18.965855572998436,False
VST,2026-06-11,clock,2026-06-12 10:01:00,165.0,162.5,0.32,0.7000000000000001,0.0964,148.46,11.141048093762617,False
ZIM,2026-06-11,clock,2026-06-12 10:01:00,29.0,28.5,0.0,0.45,0.1602,25.95,11.753371868978801,False
BKNG,2026-06-12,clock,2026-06-15 10:01:00,185.0,182.5,1.1,2.2,0.24380000000000002,175.99,5.119609068697084,False
BKNG,2026-06-12,hiro,2026-06-15 10:16:00-04:00,185.0,182.5,1.3,1.8,0.22160000000000002,174.4,6.077981651376141,False
CAT,2026-06-12,clock,2026-06-15 10:01:00,1010.0,1005.0,2.65,7.2,0.14730000000000001,933.59,8.184534967169732,False
CAT,2026-06-12,hiro,2026-06-15 10:01:00-04:00,1010.0,1005.0,2.65,7.2,0.14730000000000001,933.59,8.184534967169732,False
DDOG,2026-06-12,clock,2026-06-15 10:01:00,270.0,267.5,0.73,1.94,0.10550000000000001,230.45000000000002,17.16207420264699,False
DDOG,2026-06-12,hiro,2026-06-15 12:56:00-04:00,270.0,267.5,1.43,2.13,0.13770000000000002,237.0,13.924050632911399,False
DIS,2026-06-12,clock,2026-06-15 10:01:00,107.0,106.0,0.27,0.35000000000000003,0.1394,101.86,5.046141763204393,True
ETSY,2026-06-12,clock,2026-06-15 10:01:00,80.0,79.0,0.14,0.78,0.1396,71.9,11.265646731571621,False
ETSY,2026-06-12,hiro,2026-06-15 12:36:00-04:00,80.0,79.0,0.3,0.74,0.1539,72.32000000000001,10.619469026548668,False
F,2026-06-12,clock,2026-06-15 10:01:00,16.5,16.0,0.09,0.1,0.1577,15.25,8.196721311475418,False
FTNT,2026-06-12,clock,2026-06-15 10:01:00,165.0,162.5,0.06,0.91,0.0897,147.38,11.955489211561954,False
FTNT,2026-06-12,hiro,2026-06-15 11:21:00-04:00,165.0,162.5,0.14,0.8,0.0906,148.07,11.433781319646119,False
HD,2026-06-12,clock,2026-06-15 10:01:00,362.5,360.0,0.0,1.19,0.0724,333.04,8.845784290175352,False
HD,2026-06-12,hiro,2026-06-15 12:41:00-04:00,362.5,360.0,0.0,1.19,0.07390000000000001,334.1,8.500448967375029,False
LUV,2026-06-12,clock,2026-06-15 10:01:00,52.0,51.0,0.03,0.75,0.15990000000000001,46.57,11.659866867081803,False
LUV,2026-06-12,hiro,2026-06-15 11:56:00-04:00,52.0,51.0,0.03,0.23,0.0804,46.35,12.189859762675304,False
MRK,2026-06-12,clock,2026-06-15 10:01:00,127.0,126.0,0.0,0.9500000000000001,0.11370000000000001,115.4,10.051993067590992,False
PG,2026-06-12,clock,2026-06-15 10:01:00,157.5,155.0,0.0,0.43,0.08850000000000001,150.06,4.9580167932826935,False
RDW,2026-06-12,clock,2026-06-15 10:01:00,22.5,22.0,0.15,0.25,0.11080000000000001,15.780000000000001,42.58555133079847,False
RDW,2026-06-12,hiro,2026-06-15 10:06:00-04:00,22.5,22.0,0.1,0.25,0.09860000000000001,15.48,45.34883720930232,False
S,2026-06-12,clock,2026-06-15 10:01:00,17.5,17.0,0.05,0.2,0.1379,15.27,14.603798297314995,False
S,2026-06-12,hiro,2026-06-15 11:06:00-04:00,17.5,17.0,0.05,0.15,0.1287,15.41,13.562621674237496,False
ULTA,2026-06-12,clock,2026-06-15 10:01:00,510.0,507.5,0.25,2.45,0.1023,471.01,8.277955882040722,False
WDAY,2026-06-12,clock,2026-06-15 10:01:00,152.5,150.0,0.1,1.2,0.10310000000000001,132.88,14.7652016857315,False
WDAY,2026-06-12,hiro,2026-06-15 12:11:00-04:00,152.5,150.0,0.3,1.2,0.114,133.3,14.403600900225054,False
