ticker,tradeDate,expiry,status,spot,risk_free_rate,dividend_yield,residual_yield,calendar_time_years,carry_forward,parity_forward_median,parity_points,parity_deviation_spot_fraction
PLTR,2026-02-09,2028-01-21,missing_parity_support,143.12,0.035,0.0,-0.00614981,1.9479452054794522,155.06447750053394,,,
PLTR,2026-02-09,2028-12-15,missing_parity_support,143.12,0.0357,0.0,-0.00480649,2.8493150684931505,160.62929450809276,,,
QCOM,2026-02-09,2026-02-13,model_carry_parity_consistent,138.86,0.0372,0.0,-0.09986216,0.010958904109589041,139.06873153483917,139.05397966966837,5.0,0.00010623552621927326
QCOM,2026-02-09,2026-02-20,model_carry_parity_consistent,138.86,0.0372,0.0,-0.04202046,0.030136986301369864,139.19191958303122,139.1317722563091,6.0,0.00043315084777567945
QCOM,2026-02-09,2026-02-27,model_carry_parity_consistent,138.86,0.0372,0.0,-0.02851252,0.049315068493150684,139.31072205001055,139.20132929369532,8.0,0.0007877917061445383
QCOM,2026-02-09,2026-03-06,model_carry_parity_consistent,138.86,0.0372,0.09361085,-0.06044911,0.0684931506849315,138.8984130370507,138.9531112200408,2.0,0.0003939088505696999
QCOM,2026-02-09,2026-03-13,model_carry_parity_consistent,138.86,0.0368,0.07323696,-0.03266479,0.08767123287671233,138.81408509176924,138.921150754635,2.0,0.0007710331475280876
QCOM,2026-02-09,2026-03-20,missing_parity_support,138.86,0.0368,0.06008109,-0.0094376,0.10684931506849316,138.65475464495566,,,
QCOM,2026-02-09,2026-03-27,missing_parity_support,138.86,0.0368,0.05093196,-0.03170562,0.12602739726027398,139.16788275658118,,,
QCOM,2026-02-09,2026-04-17,missing_parity_support,138.86,0.0368,0.0349606,-0.011274,0.18356164383561643,139.19465491798783,,,
QCOM,2026-02-09,2026-05-15,missing_parity_support,138.86,0.0359,0.02465442,-0.01396154,0.2602739726027397,139.77402181222342,,,
QCOM,2026-02-09,2026-06-18,missing_parity_support,138.86,0.0359,0.03626344,-0.0140072,0.35342465753424657,139.53120563182304,,,
QCOM,2026-02-09,2026-07-17,missing_parity_support,138.86,0.0359,0.02960615,-0.01126276,0.4328767123287671,139.91933513409182,,,
QCOM,2026-02-09,2026-09-18,missing_parity_support,138.86,0.0345,0.03172134,-0.01169774,0.6054794520547945,140.082480290661,,,
QCOM,2026-02-09,2026-12-18,missing_parity_support,138.86,0.0345,0.0299207,-0.01348724,0.8547945205479452,141.021083944735,,,
QCOM,2026-02-09,2027-01-15,missing_parity_support,138.86,0.0345,0.02745671,-0.0085614,0.9315068493150684,140.8931930088345,,,
QCOM,2026-02-09,2027-06-17,missing_parity_support,138.86,0.035,0.02833324,-0.01068136,1.3506849315068492,142.15216602742464,,,
QCOM,2026-02-09,2028-01-21,missing_parity_support,138.86,0.035,0.02613066,-0.00663356,1.9479452054794522,143.1173654499196,,,
CRM,2026-02-10,2026-02-13,model_carry_parity_consistent,193.87,0.0372,0.0,-0.02870377,0.00821917808219178,193.97504294471602,193.96721955643358,3.0,4.035378492003059e-05
CRM,2026-02-10,2026-02-20,model_carry_parity_consistent,193.87,0.0372,0.0,-0.01143821,0.0273972602739726,194.1285143894527,194.12211122029552,4.0,3.302815885480637e-05
CRM,2026-02-10,2026-02-27,model_carry_parity_consistent,193.87,0.0372,0.0,-0.01446065,0.04657534246575343,194.33703466738322,194.27518948758546,8.0,0.00031900335171897176
CRM,2026-02-10,2026-03-06,model_carry_parity_consistent,193.87,0.0372,0.0,-0.00822865,0.06575342465753424,194.44997278952997,194.41580100652206,4.0,0.0001762613246397392
CRM,2026-02-10,2026-03-13,model_carry_parity_consistent,193.87,0.0369,0.0,-0.01555835,0.08493150684931507,194.73568899346705,194.68209458244104,4.0,0.00027644509736427403
CRM,2026-02-10,2026-03-20,missing_parity_support,193.87,0.0369,0.0,-0.00243465,0.10410958904109589,194.66554761639756,,,
CRM,2026-02-10,2026-03-27,missing_parity_support,193.87,0.0369,0.0,-0.00661419,0.1232876712328767,194.91286148326395,,,
CRM,2026-02-10,2026-04-17,missing_parity_support,193.87,0.0369,0.01181453,-0.00580048,0.18082191780821918,194.95576527040848,,,
CRM,2026-02-10,2026-05-15,missing_parity_support,193.87,0.0359,0.00829545,-0.00573126,0.25753424657534246,195.54156080375589,,,
CRM,2026-02-10,2026-06-18,missing_parity_support,193.87,0.0359,0.01215455,-0.01024521,0.3506849315068493,196.19476084204092,,,
CRM,2026-02-10,2026-08-21,missing_parity_support,193.87,0.0343,0.00810568,-0.01188674,0.5260273972602739,197.79269993786946,,,
CRM,2026-02-10,2026-09-18,missing_parity_support,193.87,0.0343,0.01058053,-0.01256889,0.6027397260273972,198.15712320026608,,,
CRM,2026-02-10,2026-12-18,missing_parity_support,193.87,0.0343,0.00994749,-0.00828476,0.852054794520548,199.3369429841455,,,
CRM,2026-02-10,2027-01-15,missing_parity_support,193.87,0.0343,0.00912589,-0.00666338,0.9287671232876712,199.68825896955124,,,
CRM,2026-02-10,2027-06-17,missing_parity_support,193.87,0.0348,0.00936699,-0.00812491,1.347945205479452,202.84092856189295,,,
CRM,2026-02-10,2027-09-17,missing_parity_support,193.87,0.0348,0.00917727,-0.00843121,1.6,204.7263348512453,,,
CRM,2026-02-10,2027-12-17,missing_parity_support,193.87,0.0348,0.00904468,-0.008446,1.8493150684931507,206.52817582974788,,,
CRM,2026-02-10,2028-01-21,missing_parity_support,193.87,0.0348,0.00859882,-0.00620409,1.9452054794520548,206.4839612964813,,,
DIS,2026-02-10,2026-02-13,model_carry_parity_consistent,110.21,0.0372,0.0,-0.02001303,0.00821917808219178,110.26183778754952,110.26020525558039,2.0,1.4812920507541539e-05
