ticker,signal_date,policy,timestamp,bid,ask,delta,stock,pass_basic
QCOM,2026-06-15,clock,2026-06-16 10:01:00,1.0,1.6,0.0742,230.20000000000002,False
QCOM,2026-06-15,hiro,2026-06-16 11:11:00-04:00,0.8200000000000001,1.24,0.0604,222.67000000000002,False
CRM,2026-06-16,clock,2026-06-17 10:01:00,0.19,0.3,0.046200000000000005,160.87,False
DE,2026-06-16,clock,2026-06-17 10:01:00,0.0,4.8,0.1453,595.19,False
DG,2026-06-16,clock,2026-06-17 10:01:00,0.0,0.75,0.08,112.39,False
DG,2026-06-16,hiro,2026-06-17 12:31:00-04:00,0.0,0.75,0.0772,111.33,False
ON,2026-06-16,clock,2026-06-17 10:01:00,0.0,1.77,0.0926,116.69,False
ON,2026-06-16,hiro,2026-06-17 10:01:00-04:00,0.0,1.77,0.0926,116.69,False
ROKU,2026-06-16,clock,2026-06-17 10:01:00,0.0,0.14,0.0256,139.54,False
SE,2026-06-16,clock,2026-06-17 10:01:00,0.23,0.36,0.0892,90.31,False
SE,2026-06-16,hiro,2026-06-17 11:51:00-04:00,0.49,0.63,0.14880000000000002,92.37,False
SERV,2026-06-16,clock,2026-06-17 10:01:00,0.02,0.08,0.0786,6.7,False
SERV,2026-06-16,hiro,2026-06-17 10:01:00-04:00,0.02,0.08,0.0786,6.7,False
VRT,2026-06-16,clock,2026-06-17 10:01:00,0.1,1.0,0.0437,308.14,False
VRT,2026-06-16,hiro,2026-06-17 11:11:00-04:00,0.43,1.0,0.054900000000000004,312.92,False
WDC,2026-06-16,clock,2026-06-17 10:01:00,2.49,5.15,0.0724,702.47,False
WDC,2026-06-16,hiro,2026-06-17 10:01:00-04:00,2.49,5.15,0.0724,702.47,False
ZS,2026-06-16,clock,2026-06-17 10:01:00,0.01,0.65,0.057300000000000004,127.26,False
ZS,2026-06-16,hiro,2026-06-17 13:06:00-04:00,0.02,0.5,0.0473,126.09,False
