tradeDate,ticker,scenario,buy_surface_tier,sell_archetype,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,extension_50d_pct,relative_return_63d_pct,rs63_cross_section_pct,ivRank1y,iv30d,rr25,rr25_pct252,callskew,callskew_pct252,call_wing_30,call_wing_10,call_wing_10_pct252,call_kink,call_kink_pct252,put_wing_10_pct252,iv10d_pct252,avgOptVolu20d,oi,dollar_stock_volume,confidence_core,mktWidthVol,nextErn,wksNextErn,earnings_near_front_expiry,sector,sectorName,bestEtf,universe_size,liquid_universe_size,chain_confirmed,failure_reason,expiry,dte,leg1_action,leg1_strike,leg1_delta,leg1_bid,leg1_ask,leg1_oi,leg1_volume,leg2_action,leg2_strike,leg2_bid,leg2_ask,leg2_oi,leg2_volume,spread_width,entry_cash,target_leg2_price,contract_wing_iv_points,event_inside_expiry,lower_otm_pct,selection_distance
2026-08-14,LUV,buy-first puke,good,,75.87301587301587,44.25,-6.090831918505934,-9.78593272171253,-6.113147978409206,11.735358141264584,64.00431732325957,19.28,36.5493,4.0364,64.28571428571429,-1.902700000000003,11.11111111111111,-3.0693000000000055,2.1751999999999967,61.507936507936506,3.243000000000002,63.888888888888886,20.634920634920636,12.301587301587302,8740.3,240300,238656620.02,80.1738,4.99287,0000-00-00,9,False,Airlines,Industrials,XLI,1853,549,False,one leg lacks a bid,2026-09-18,36.0,BTO,55.0,0.026590780729947656,0.0,0.07,18787.0,13.0,STO,57.5,0.0,0.11,1179.0,0.0,2.5,0.07,,,False,24.29378531073447,3.206214689265529
2026-08-18,IP,buy-first puke,good,,74.52380952380952,40.05,-3.8646183389342337,-8.100045892611297,3.7236935476351984,29.70597000252122,84.4141689373297,38.74,34.827799999999996,3.3836000000000013,61.507936507936506,-0.4499999999999957,32.53968253968254,1.9960000000000024,5.461500000000001,49.6031746031746,2.998800000000003,66.66666666666667,51.19047619047619,32.142857142857146,3152.05,56605,210639756.36,74.3556,5.07231,0000-00-00,10,False,Packaging & Container Manufacturing,Materials,XLB,1835,552,False,one leg lacks a bid,2026-09-18,32.0,BTO,50.0,0.018991827137815095,0.0,0.1,261.0,1.0,STO,52.5,0.0,0.1,117.0,0.0,2.5,0.1,,,False,24.843945068664187,2.656054931335813
2026-08-20,PGY,buy-first puke,good,,74.46428571428571,20.2,-6.912442396313367,-8.18181818181819,12.08771696186799,50.46752707261377,92.70946681175192,3.96,63.3359,3.6167999999999902,60.714285714285715,-0.9525000000000006,32.142857142857146,-0.7952000000000012,-0.7952000000000012,18.253968253968253,0.0,30.555555555555557,39.68253968253968,1.984126984126984,5412.0,202762,61221491.77,82.2292,12.76851,0000-00-00,11,False,Infrastructure Software,Technology,XLK,1838,569,False,one leg lacks a bid; combined leg quote widths exceed 0.20; one leg has OI below 25,2026-09-18,30.0,BTO,26.0,0.0903537894297591,0.1,0.15,276.0,2.0,STO,31.0,0.0,0.75,0.0,0.0,5.0,0.15,,,False,28.712871287128717,1.212871287128717
2026-08-12,XPEV,buy-first puke,good,,68.03571428571429,11.73,-0.3398470688190214,-16.98513800424628,-12.73100616016426,-29.48066477641511,5.1513542219861925,47.13,61.0202,0.5658999999999921,82.53968253968254,0.1901999999999972,4.365079365079365,0.758899999999997,12.735300000000002,45.23809523809524,-1.7518999999999991,44.04761904761905,42.06349206349206,3.968253968253968,21682.6,594492,78721061.76,50.9749,10.14598,0000-00-00,1,True,Automobile Manufacturing,C. Cyclical,XLY,1883,525,False,earnings inside expiry,2026-09-18,38.0,BTO,15.0,0.14559975063182046,0.15,0.18,8462.0,695.0,STO,20.0,0.01,0.08,8541.0,5.0,5.0,0.16999999999999998,,,True,27.877237851662407,0.3772378516624073
2026-08-20,HIMX,buy-first puke,good,,67.71825396825398,13.62,-7.0307167235494905,-11.84466019417476,-6.6599048780822345,-27.30613031366343,5.495103373231774,49.5,72.702,1.9138999999999984,79.36507936507937,-0.4538000000000011,4.365079365079365,1.3303999999999974,1.3303999999999974,11.904761904761903,0.0,19.047619047619047,19.444444444444443,57.93650793650794,2882.2,141509,20651605.3,53.8473,25.81817,0000-00-00,11,False,Semiconductors,Technology,XLK,1838,569,False,one leg lacks a bid; combined leg quote widths exceed 0.20,2026-09-18,30.0,BTO,18.0,0.10236810088009474,0.1,0.15,464.0,7.0,STO,23.0,0.0,0.65,576.0,0.0,5.0,0.15,,,False,32.15859030837005,4.6585903083700515
2026-08-14,LI,buy-first puke,good,,67.59920634920634,12.27,-5.469953775038528,-11.34393063583815,-4.419898110209209,-37.77410215383253,1.9427954668105776,9.57,50.1527,1.3992000000000004,77.77777777777777,-0.0060000000000002,3.5714285714285716,1.6253000000000029,-0.640500000000003,2.7777777777777777,-6.943100000000001,23.80952380952381,17.063492063492063,28.96825396825397,5856.55,209619,43687359.54,75.8262,7.72946,0000-00-00,1,True,Automobile Manufacturing,C. Cyclical,XLY,1853,549,False,one leg lacks a bid; earnings inside expiry,2026-09-18,36.0,BTO,16.0,0.07475948966828469,0.05,0.12,1577.0,1.0,STO,19.0,0.0,0.11,5178.0,0.0,3.0,0.12,,,True,30.399348003259984,2.899348003259984
2026-08-18,UAMY,buy-first puke,good,,67.18253968253968,5.2,-20.48929663608563,-22.503725782414307,-18.11023622047243,-37.428148836090315,2.016348773841962,0.0,93.3172,-0.1069999999999993,78.96825396825396,0.2693000000000012,14.285714285714286,1.400100000000009,-4.387799999999999,5.9523809523809526,-3.8911000000000087,27.77777777777778,68.25396825396825,0.7936507936507936,9907.05,242795,36418926.32,58.8621,13.61282,0000-00-00,12,False,Industrial Metals & Mining,Materials,XLB,1835,552,False,one leg lacks a bid; combined leg quote widths exceed 0.20; one leg has OI below 25,2026-09-25,39.0,BTO,7.0,0.21906048480808785,0.15,0.2,5345.0,21.0,STO,12.0,0.0,0.3,0.0,0.0,5.0,0.2,,,False,34.615384615384606,7.115384615384606
2026-08-20,CRML,buy-first puke,good,,66.60714285714285,5.87,-10.790273556231,-18.698060941828253,-24.246334916374156,-45.778526597473046,0.7072905331882481,1.11,96.6962,3.1333000000000055,76.58730158730158,-0.9109000000000124,21.03174603174603,-0.8893999999999949,-0.920000000000016,10.317460317460318,5.260199999999983,53.57142857142857,42.46031746031746,5.555555555555555,9481.15,340627,36793567.17,56.4947,23.11663,0000-00-00,0,True,Industrial Metals & Mining,Materials,XLB,1838,569,False,one leg lacks a bid; earnings inside expiry,2026-09-18,30.0,BTO,7.5,0.22069335060023149,0.15,0.25,7866.0,213.0,STO,12.5,0.0,0.1,280.0,0.0,5.0,0.25,,,True,27.76831345826234,0.268313458262341
2026-08-20,SOLS,buy-first puke,good,,66.54761904761905,56.45,-9.939374601148687,-11.130352644836272,-17.19790068441912,-32.47536103597651,2.992383025027203,31.77,48.7454,0.9039999999999964,76.19047619047619,0.0713000000000079,21.428571428571427,0.5892000000000053,0.5892000000000053,17.857142857142858,0.0,15.476190476190476,58.333333333333336,11.904761904761903,3918.7,115157,161899834.04000002,54.1816,6.99016,0000-00-00,10,False,Specialized Chemicals,Materials,XLB,1838,569,False,one leg lacks a bid; combined leg quote widths exceed 0.20,2026-09-18,30.0,BTO,75.0,0.02543273930762458,0.05,0.2,1076.0,7.0,STO,80.0,0.0,0.2,211.0,0.0,5.0,0.2,,,False,32.8609388839681,5.360938883968103
2026-08-13,CRML,buy-first puke,good,,66.48809523809524,6.58,-0.6042296072507614,-8.864265927977833,-19.202337974901152,-45.40300079041247,0.9105516871987144,7.21,100.391,2.617999999999981,73.80952380952381,-1.3089999999999975,17.857142857142858,-2.3563000000000045,-4.219399999999993,5.9523809523809526,-2.2608000000000033,24.603174603174605,46.82539682539682,2.7777777777777777,9023.1,312068,40288287.11,66.6679,23.38832,0000-00-00,0,True,Industrial Metals & Mining,Materials,XLB,1867,538,False,one leg lacks a bid; combined leg quote widths exceed 0.20; one leg has OI below 25; earnings inside expiry,2026-09-11,30.0,BTO,8.5,0.21845278143526908,0.15,0.25,35.0,24.0,STO,13.0,0.0,0.35,0.0,0.0,4.5,0.25,,,True,29.179331306990886,1.6793313069908855
