date,right,variant,c,k50,k20,bombs,credits,total_credit,anchor_pnl,unpaired_short,unpaired_long,cash,book,day_pnl,u_open,u_lo,u_hi,u_last
2026-08-04,CALL,long_first,0.05,215.0,240.0,0,[],0.0,,0,1,-4.5,4.85,0.35,210.67,209.07,213.02,211.86
2026-08-04,CALL,long_first,0.1,215.0,240.0,0,[],0.0,,0,1,-4.5,4.85,0.35,210.67,209.07,213.02,211.86
2026-08-04,CALL,long_first,0.25,215.0,240.0,0,[],0.0,,0,1,-4.5,4.85,0.35,210.67,209.07,213.02,211.86
2026-08-04,CALL,ladder3,0.05,215.0,240.0,0,[],0.0,,0,3,-22.8,24.2,1.4,210.67,209.07,213.02,211.86
2026-08-04,CALL,ladder3,0.1,215.0,240.0,0,[],0.0,,0,3,-22.8,24.2,1.4,210.67,209.07,213.02,211.86
2026-08-04,CALL,ladder3,0.25,215.0,240.0,0,[],0.0,,0,3,-22.8,24.2,1.4,210.67,209.07,213.02,211.86
2026-08-04,CALL,short3,0.05,215.0,240.0,0,[],0.0,,3,0,17.85,-19.75,-1.9,210.67,209.07,213.02,211.86
2026-08-04,CALL,short3,0.1,215.0,240.0,0,[],0.0,,3,0,17.85,-19.75,-1.9,210.67,209.07,213.02,211.86
2026-08-04,CALL,short3,0.25,215.0,240.0,0,[],0.0,,3,0,17.85,-19.75,-1.9,210.67,209.07,213.02,211.86
2026-08-05,PUT,anchor,0.05,220.0,195.0,0,[],0.0,-1.35,1,0,2.8,-3.7,-0.9,217.92,217.92,222.16,219.2
2026-08-05,PUT,anchor,0.1,220.0,195.0,0,[],0.0,-1.35,1,0,2.8,-3.7,-0.9,217.92,217.92,222.16,219.2
2026-08-05,PUT,anchor,0.25,220.0,195.0,0,[],0.0,-1.35,1,0,2.8,-3.7,-0.9,217.92,217.92,222.16,219.2
2026-08-05,PUT,long_first,0.05,220.0,195.0,0,[],0.0,,0,1,-5.55,4.75,-0.8,217.92,217.92,222.16,219.2
2026-08-05,PUT,long_first,0.1,220.0,195.0,0,[],0.0,,0,1,-5.55,4.75,-0.8,217.92,217.92,222.16,219.2
2026-08-05,PUT,long_first,0.25,220.0,195.0,0,[],0.0,,0,1,-5.55,4.75,-0.8,217.92,217.92,222.16,219.2
2026-08-05,PUT,ladder3,0.05,220.0,195.0,0,[],0.0,,0,3,-28.05,24.8,-3.25,217.92,217.92,222.16,219.2
2026-08-05,PUT,ladder3,0.1,220.0,195.0,0,[],0.0,,0,3,-28.05,24.8,-3.25,217.92,217.92,222.16,219.2
2026-08-05,PUT,ladder3,0.25,220.0,195.0,0,[],0.0,,0,3,-28.05,24.8,-3.25,217.92,217.92,222.16,219.2
2026-08-05,PUT,short3,0.05,220.0,195.0,0,[],0.0,,3,0,22.0,-19.9,2.1,217.92,217.92,222.16,219.2
2026-08-05,PUT,short3,0.1,220.0,195.0,0,[],0.0,,3,0,22.0,-19.9,2.1,217.92,217.92,222.16,219.2
2026-08-05,PUT,short3,0.25,220.0,195.0,0,[],0.0,,3,0,22.0,-19.9,2.1,217.92,217.92,222.16,219.2
2026-08-05,CALL,anchor,0.05,220.0,250.0,0,[],0.0,0.3,1,0,3.85,-3.6,0.25,217.92,217.92,222.16,219.2
2026-08-05,CALL,anchor,0.1,220.0,250.0,0,[],0.0,0.3,1,0,3.85,-3.6,0.25,217.92,217.92,222.16,219.2
2026-08-05,CALL,anchor,0.25,220.0,250.0,0,[],0.0,0.3,1,0,3.85,-3.6,0.25,217.92,217.92,222.16,219.2
2026-08-05,CALL,long_first,0.05,220.0,250.0,0,[],0.0,,0,1,-4.55,4.45,-0.1,217.92,217.92,222.16,219.2
2026-08-05,CALL,long_first,0.1,220.0,250.0,0,[],0.0,,0,1,-4.55,4.45,-0.1,217.92,217.92,222.16,219.2
2026-08-05,CALL,long_first,0.25,220.0,250.0,0,[],0.0,,0,1,-4.55,4.45,-0.1,217.92,217.92,222.16,219.2
2026-08-05,CALL,ladder3,0.05,220.0,250.0,0,[],0.0,,0,3,-22.2,22.25,0.05,217.92,217.92,222.16,219.2
2026-08-05,CALL,ladder3,0.1,220.0,250.0,0,[],0.0,,0,3,-22.2,22.25,0.05,217.92,217.92,222.16,219.2
2026-08-05,CALL,ladder3,0.25,220.0,250.0,0,[],0.0,,0,3,-22.2,22.25,0.05,217.92,217.92,222.16,219.2
2026-08-05,CALL,short3,0.05,220.0,250.0,0,[],0.0,,3,0,17.6,-18.1,-0.5,217.92,217.92,222.16,219.2
2026-08-05,CALL,short3,0.1,220.0,250.0,0,[],0.0,,3,0,17.6,-18.1,-0.5,217.92,217.92,222.16,219.2
2026-08-05,CALL,short3,0.25,220.0,250.0,0,[],0.0,,3,0,17.6,-18.1,-0.5,217.92,217.92,222.16,219.2
2026-08-06,PUT,anchor,0.05,225.0,200.0,0,[],0.0,1.0,1,0,5.3,-4.8,0.5,220.97,217.34,223.5,218.96
2026-08-06,PUT,anchor,0.1,225.0,200.0,0,[],0.0,1.0,1,0,5.3,-4.8,0.5,220.97,217.34,223.5,218.96
2026-08-06,PUT,anchor,0.25,225.0,200.0,0,[],0.0,1.0,1,0,5.3,-4.8,0.5,220.97,217.34,223.5,218.96
2026-08-06,PUT,long_first,0.05,225.0,200.0,0,[],0.0,,0,1,-5.75,6.1,0.35,220.97,217.34,223.5,218.96
2026-08-06,PUT,long_first,0.1,225.0,200.0,0,[],0.0,,0,1,-5.75,6.1,0.35,220.97,217.34,223.5,218.96
