date,right,variant,c,k50,k20,bombs,credits,total_credit,anchor_pnl,unpaired_short,unpaired_long,cash,book,day_pnl,u_open,u_lo,u_hi,u_last
2026-08-05,PUT,ladder3,0.1,220.0,205.0,0,[],0.0,,0,3,-26.1,21.61,-4.49,217.92,217.92,222.16,219.2
2026-08-05,PUT,short3,0.05,220.0,205.0,1,[0.05],0.05,,2,0,16.4,-13.75,2.65,217.92,217.92,222.16,219.2
2026-08-05,PUT,short3,0.1,220.0,205.0,1,[0.1],0.1,,2,0,16.45,-13.75,2.7,217.92,217.92,222.16,219.2
2026-08-05,CALL,anchor,0.05,220.0,235.0,0,[],0.0,0.4,1,0,2.49,-2.16,0.33,217.92,217.92,222.16,219.2
2026-08-05,CALL,anchor,0.1,220.0,235.0,0,[],0.0,0.4,1,0,2.49,-2.16,0.33,217.92,217.92,222.16,219.2
2026-08-05,CALL,long_first,0.05,220.0,235.0,1,[0.05],0.05,,0,1,-2.6,3.2,0.6,217.92,217.92,222.16,219.2
2026-08-05,CALL,long_first,0.1,220.0,235.0,1,[0.1],0.1,,0,1,-2.55,3.2,0.65,217.92,217.92,222.16,219.2
2026-08-05,CALL,ladder3,0.05,220.0,235.0,1,[0.05],0.05,,0,3,-22.05,23.7,1.65,217.92,217.92,222.16,219.2
2026-08-05,CALL,ladder3,0.1,220.0,235.0,1,[0.1],0.1,,0,3,-22.0,23.7,1.7,217.92,217.92,222.16,219.2
2026-08-05,CALL,short3,0.05,220.0,235.0,0,[],0.0,,3,0,15.99,-17.31,-1.32,217.92,217.92,222.16,219.2
2026-08-05,CALL,short3,0.1,220.0,235.0,0,[],0.0,,3,0,15.99,-17.31,-1.32,217.92,217.92,222.16,219.2
2026-08-06,PUT,anchor,0.05,222.5,207.5,0,[],0.0,1.0,1,0,2.96,-2.28,0.68,220.97,217.34,223.5,218.96
2026-08-06,PUT,anchor,0.1,222.5,207.5,0,[],0.0,1.0,1,0,2.96,-2.28,0.68,220.97,217.34,223.5,218.96
2026-08-06,PUT,long_first,0.05,222.5,207.5,1,[0.05],0.05,,0,0,0.05,0.62,0.67,220.97,217.34,223.5,218.96
2026-08-06,PUT,long_first,0.1,222.5,207.5,1,[0.1],0.1,,0,0,0.1,0.62,0.72,220.97,217.34,223.5,218.96
2026-08-06,PUT,ladder3,0.05,222.5,207.5,1,[0.05],0.05,,0,2,-20.9,23.32,2.42,220.97,217.34,223.5,218.96
2026-08-06,PUT,ladder3,0.1,222.5,207.5,1,[0.1],0.1,,0,2,-20.85,23.32,2.47,220.97,217.34,223.5,218.96
2026-08-06,PUT,short3,0.05,222.5,207.5,0,[],0.0,,3,0,16.46,-19.43,-2.97,220.97,217.34,223.5,218.96
2026-08-06,PUT,short3,0.1,222.5,207.5,0,[],0.0,,3,0,16.46,-19.43,-2.97,220.97,217.34,223.5,218.96
2026-08-07,PUT,anchor,0.05,225.0,210.0,0,[],0.0,-1.2,1,0,0.74,-1.45,-0.71,221.17,220.75,224.68,223.9
2026-08-07,PUT,anchor,0.1,225.0,210.0,0,[],0.0,-1.2,1,0,0.74,-1.45,-0.71,221.17,220.75,224.68,223.9
2026-08-07,PUT,long_first,0.05,225.0,210.0,0,[],0.0,,0,1,-2.56,1.87,-0.69,221.17,220.75,224.68,223.9
2026-08-07,PUT,long_first,0.1,225.0,210.0,0,[],0.0,,0,1,-2.56,1.87,-0.69,221.17,220.75,224.68,223.9
2026-08-07,PUT,ladder3,0.05,225.0,210.0,0,[],0.0,,0,3,-24.71,20.77,-3.94,221.17,220.75,224.68,223.9
2026-08-07,PUT,ladder3,0.1,225.0,210.0,0,[],0.0,,0,3,-24.71,20.77,-3.94,221.17,220.75,224.68,223.9
2026-08-07,PUT,short3,0.05,225.0,210.0,0,[],0.0,,3,0,17.19,-14.75,2.44,221.17,220.75,224.68,223.9
2026-08-07,PUT,short3,0.1,225.0,210.0,0,[],0.0,,3,0,17.19,-14.75,2.44,221.17,220.75,224.68,223.9
2026-08-10,PUT,anchor,0.05,222.5,212.5,0,[],0.0,2.25,1,0,4.17,-3.2,0.97,223.48,216.81,223.75,217.55
2026-08-10,PUT,anchor,0.1,222.5,212.5,0,[],0.0,2.25,1,0,4.17,-3.2,0.97,223.48,216.81,223.75,217.55
2026-08-10,PUT,long_first,0.05,222.5,212.5,1,[0.05],0.05,,0,0,0.05,0.9,0.95,223.48,216.81,223.75,217.55
2026-08-10,PUT,long_first,0.1,222.5,212.5,1,[0.1],0.1,,0,0,0.1,0.9,1.0,223.48,216.81,223.75,217.55
2026-08-10,PUT,ladder3,0.05,222.5,212.5,2,"[0.05, 0.05]",0.1,,0,1,-16.0,24.3,8.3,223.48,216.81,223.75,217.55
2026-08-10,PUT,ladder3,0.1,222.5,212.5,2,"[0.1, 0.1]",0.2,,0,1,-15.9,24.3,8.4,223.48,216.81,223.75,217.55
2026-08-10,PUT,short3,0.05,222.5,212.5,0,[],0.0,,3,0,18.72,-27.65,-8.93,223.48,216.81,223.75,217.55
2026-08-10,PUT,short3,0.1,222.5,212.5,0,[],0.0,,3,0,18.72,-27.65,-8.93,223.48,216.81,223.75,217.55
2026-08-10,CALL,anchor,0.05,222.5,235.0,1,[0.05],0.05,-2.6,0,0,-2.55,0.29,-2.27,223.48,216.81,223.75,217.55
2026-08-10,CALL,anchor,0.1,222.5,235.0,1,[0.1],0.1,-2.6,0,0,-2.5,0.29,-2.22,223.48,216.81,223.75,217.55
2026-08-10,CALL,long_first,0.05,222.5,235.0,0,[],0.0,,0,1,-2.22,1.06,-1.16,223.48,216.81,223.75,217.55
2026-08-10,CALL,long_first,0.1,222.5,235.0,0,[],0.0,,0,1,-2.22,1.06,-1.16,223.48,216.81,223.75,217.55
2026-08-10,CALL,ladder3,0.05,222.5,235.0,0,[],0.0,,0,3,-24.37,15.71,-8.66,223.48,216.81,223.75,217.55
2026-08-10,CALL,ladder3,0.1,222.5,235.0,0,[],0.0,,0,3,-24.37,15.71,-8.66,223.48,216.81,223.75,217.55
2026-08-10,CALL,short3,0.05,222.5,235.0,3,"[0.05, 0.05, 0.05]",0.15,,0,0,0.15,5.42,5.57,223.48,216.81,223.75,217.55
2026-08-10,CALL,short3,0.1,222.5,235.0,3,"[0.1, 0.1, 0.1]",0.3,,0,0,0.3,5.42,5.72,223.48,216.81,223.75,217.55
2026-08-11,PUT,anchor,0.05,222.5,210.0,0,[],0.0,1.45,1,0,3.05,-2.07,0.98,221.56,216.47,221.56,217.47
2026-08-11,PUT,anchor,0.1,222.5,210.0,0,[],0.0,1.45,1,0,3.05,-2.07,0.98,221.56,216.47,221.56,217.47
