tradeDate,ticker,scenario,buy_surface_tier,sell_archetype,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,extension_50d_pct,relative_return_63d_pct,rs63_cross_section_pct,ivRank1y,iv30d,rr25,rr25_pct252,callskew,callskew_pct252,call_wing_30,call_wing_10,call_wing_10_pct252,call_kink,call_kink_pct252,put_wing_10_pct252,iv10d_pct252,avgOptVolu20d,oi,dollar_stock_volume,confidence_core,mktWidthVol,nextErn,wksNextErn,earnings_near_front_expiry,sector,sectorName,bestEtf,universe_size,liquid_universe_size
2026-08-13,MNDY,sell-first,,grab,53.11507936507937,93.88,8.531791907514453,-0.3925729442970871,15.82459014775408,34.99731146618996,87.62720942688806,35.38,66.6293,-2.548100000000005,1.5873015873015872,3.126400000000004,98.41269841269842,11.438500000000005,12.170600000000007,91.26984126984127,5.1791999999999945,79.76190476190476,23.41269841269841,52.77777777777778,2774.05,69398,159667681.95000002,90.3738,7.14357,0000-00-00,12,False,Application Software,Technology,XLK,1867,538
2026-08-13,EQNR,sell-first,,grab,53.095238095238095,40.59,2.7594936708860818,-1.3848396501457527,11.40509296108647,4.01014817612273,50.29459025174076,50.24,37.254,-2.1724999999999994,0.7936507936507936,1.3300000000000054,82.53968253968254,3.451999999999998,8.382199999999997,85.71428571428571,4.808100000000003,90.47619047619048,7.5396825396825395,60.317460317460316,5849.95,145080,153815548.86,83.3084,5.69169,0000-00-00,10,False,Integrated Oil & Gas,Energy,XLE,1867,538
2026-08-14,LUV,buy-first puke,good,,75.87301587301587,44.25,-6.090831918505934,-9.78593272171253,-6.113147978409206,11.735358141264584,64.00431732325957,19.28,36.5493,4.0364,64.28571428571429,-1.902700000000003,11.11111111111111,-3.0693000000000055,2.1751999999999967,61.507936507936506,3.243000000000002,63.888888888888886,20.634920634920636,12.301587301587302,8740.3,240300,238656620.01999998,80.1738,4.99287,0000-00-00,9,False,Airlines,Industrials,XLI,1853,549
2026-08-14,LI,buy-first puke,good,,67.59920634920634,12.27,-5.469953775038528,-11.34393063583815,-4.419898110209209,-37.77410215383253,1.9427954668105774,9.57,50.152699999999996,1.3992000000000004,77.77777777777777,-0.006000000000000227,3.5714285714285716,1.6253000000000029,-0.640500000000003,2.7777777777777777,-6.943100000000001,23.80952380952381,17.063492063492063,28.96825396825397,5856.55,209619,43687359.54,75.8262,7.72946,0000-00-00,1,True,Automobile Manufacturing,C. Cyclical,XLY,1853,549
2026-08-14,SHLS,buy-first puke,,,48.57142857142857,8.43,-5.387205387205396,-19.71428571428572,-13.234113505835854,-10.508714446131972,19.58985429033999,32.99,79.2859,9.007000000000005,97.22222222222223,1.1273999999999944,23.015873015873016,21.893100000000004,21.893100000000004,81.74603174603175,0.0,28.174603174603174,25.0,22.22222222222222,2634.2,102186,47410632.28,54.877,11.9594,0000-00-00,11,False,Solar,Industrials,XLI,1853,549
2026-08-14,BTDR,buy-first puke,,,46.25,9.04,-16.37372802960223,-27.15551974214344,-33.66403475300126,-39.0044041013044,1.7808958445763627,31.41,94.0773,0.09719999999998663,71.82539682539682,1.9701000000000164,18.650793650793652,15.602700000000013,10.736900000000006,23.41269841269841,-7.275999999999996,23.80952380952381,27.77777777777778,11.507936507936508,41289.9,477228,107524409.75999999,76.4454,16.58224,0000-00-00,12,False,Application Software,Technology,XLK,1853,549
2026-08-14,PCT,buy-first puke,,,45.654761904761905,6.96,-3.601108033240996,-8.179419525065967,-9.767417740555395,-44.48648658947207,0.8634646519158122,46.52,85.983,1.0394000000000005,65.47619047619048,0.8111999999999995,17.857142857142858,4.190999999999988,6.411199999999994,34.12698412698413,3.9092000000000127,61.904761904761905,7.936507936507937,39.285714285714285,9862.45,499221,30862811.0,66.1859,18.86588,0000-00-00,11,False,Environmental Services & Equipment,Materials,XLB,1853,549
2026-08-14,JD,buy-first puke,,,45.0,29.02,-11.927162367223076,-13.139778509428313,-0.6368554406628757,-13.115726062701317,16.567728008634646,8.77,28.6754,-0.7122000000000028,61.111111111111114,1.2424,22.22222222222222,4.9726000000000035,4.1358,12.301587301587302,-0.29360000000000497,53.17460317460318,20.238095238095237,7.936507936507937,32469.25,1041150,262265032.5,70.0003,2.23061,0000-00-00,12,False,E-commerce & Internet Retail,C. Cyclical,XLY,1853,549
2026-08-14,EOG,buy-first standard,good,,51.904761904761905,142.63,6.020961867241503,-3.8751853349508036,3.426571702466763,3.4564116367594044,47.1127900701565,45.86,28.5696,2.800099999999997,77.38095238095238,-0.967299999999998,16.666666666666668,0.3296000000000028,1.510200000000001,47.22222222222222,0.504999999999999,46.82539682539682,85.71428571428571,29.761904761904763,4215.15,123534,431292298.21999997,63.5963,8.44165,0000-00-00,11,False,Oil & Gas Exploration,Energy,XLE,1853,549
2026-08-14,OSCR,buy-first standard,good,,50.773809523809526,32.86,18.842676311030736,0.0,11.922505756209212,42.1442180941481,90.71775499190503,9.81,60.237899999999996,0.9407999999999959,63.095238095238095,-0.192699999999995,10.714285714285714,0.8164000000000016,4.556099999999994,15.873015873015873,1.1758000000000024,58.333333333333336,19.444444444444443,3.9682539682539684,18328.45,524088,169902214.20000002,86.2359,11.6699,0000-00-00,12,False,Health Insurance & Managed Care,Financials,XLF,1853,549
