tradeDate,ticker,scenario,buy_surface_tier,sell_archetype,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,extension_50d_pct,relative_return_63d_pct,rs63_cross_section_pct,ivRank1y,iv30d,rr25,rr25_pct252,callskew,callskew_pct252,call_wing_30,call_wing_10,call_wing_10_pct252,call_kink,call_kink_pct252,put_wing_10_pct252,iv10d_pct252,avgOptVolu20d,oi,dollar_stock_volume,confidence_core,mktWidthVol,nextErn,wksNextErn,earnings_near_front_expiry,sector,sectorName,bestEtf,universe_size,liquid_universe_size,chain_confirmed,failure_reason,expiry,dte,leg1_action,leg1_strike,leg1_delta,leg1_bid,leg1_ask,leg1_oi,leg1_volume,leg2_action,leg2_strike,leg2_bid,leg2_ask,leg2_oi,leg2_volume,spread_width,entry_cash,target_leg2_price,contract_wing_iv_points,event_inside_expiry,lower_otm_pct,selection_distance
2026-08-18,QS,buy-first puke,,,45.09920634920635,5.75,-8.439490445859876,-8.730158730158733,-10.525333001369352,-25.503110451833045,8.169934640522875,9.21,72.5397,-6.150499999999994,61.507936507936506,5.4589,21.03174603174603,16.069000000000003,16.95960000000001,22.61904761904762,-1.886099999999999,54.36507936507937,11.507936507936508,3.968253968253968,27885.9,734766,145567241.64000002,55.3735,8.28899,0000-00-00,9,False,Automotive Parts & Components,C. Cyclical,XLY,306,268,True,,2026-09-18,32.0,BTO,7.0,0.23402161560173246,0.15,0.16,4589.0,250.0,STO,11.0,0.01,0.03,240.0,89.0,4.0,0.15,,,False,21.739130434782616,5.760869565217384
2026-08-14,JD,buy-first puke,,,45.0,29.02,-11.927162367223076,-13.139778509428313,-0.6368554406628757,-13.115726062701317,20.983606557377048,8.77,28.6754,-0.7122000000000028,61.111111111111114,1.2424,22.22222222222222,4.9726000000000035,4.1358,12.301587301587302,-0.2936000000000049,53.17460317460318,20.238095238095237,7.936507936507937,32469.25,1041150,262265032.5,70.0003,2.23061,0000-00-00,12,False,E-commerce & Internet Retail,C. Cyclical,XLY,305,264,True,,2026-10-16,64.0,BTO,37.0,0.06903841712609954,0.1,0.18,314.0,1.0,STO,42.0,0.02,0.12,50.0,2.0,5.0,0.16,,,False,27.498277050310136,0.0017229496898636398
2026-08-17,LCID,buy-first puke,,,44.96031746031746,6.22,-5.471124620060797,-23.58722358722359,0.2772941252337402,0.6901223186580818,44.77124183006536,11.23,77.79209999999999,2.761599999999987,61.904761904761905,1.2921000000000191,24.603174603174605,13.87060000000001,8.125699999999995,11.507936507936508,-5.404800000000009,40.07936507936508,14.682539682539682,32.53968253968254,41562.05,744940,87942446.53999999,58.052,18.02618,0000-00-00,11,False,Automobile Manufacturing,C. Cyclical,XLY,306,268,True,,2026-09-18,33.0,BTO,8.0,0.1614712793162604,0.08,0.13,11137.0,265.0,STO,12.0,0.01,0.06,383.0,0.0,4.0,0.12000000000000001,,,False,28.617363344051448,1.1173633440514479
2026-08-19,LMND,buy-first puke,,,44.84126984126984,51.14,-1.3883532587736225,-17.82098666238149,-14.497047355995909,-6.713819656472186,27.54098360655738,0.0,53.860699999999994,0.4056999999999959,64.28571428571429,0.5459000000000103,31.746031746031747,6.525200000000012,0.9900999999999982,7.142857142857143,-6.28540000000001,27.77777777777778,6.349206349206349,0.7936507936507936,6614.25,134394,77533986.03999999,72.9896,6.57019,0000-00-00,11,False,Property & Casualty Insurance,Financials,XLF,305,268,True,,2026-09-18,31.0,BTO,65.0,0.08529248548995429,0.3,0.35,1802.0,58.0,STO,70.0,0.15,0.2,977.0,1.0,5.0,0.19999999999999998,,,False,27.10207274149394,0.3979272585060585
2026-08-19,INTC,buy-first puke,,,44.8015873015873,93.22,-7.529014978672755,-10.648902520847315,-14.35700688671827,-17.81820428157296,13.114754098360656,40.52,61.68860000000001,-1.7638000000000105,65.07936507936508,1.9066999999999936,34.12698412698413,10.404799999999994,9.876599999999996,29.761904761904763,2.525099999999995,46.03174603174603,33.73015873015873,43.65079365079365,810472.35,6189883,11407278614.08,98.0988,3.42146,0000-00-00,9,False,Semiconductors,Technology,XLK,305,268,True,,2026-09-18,31.0,BTO,125.0,0.0895396899803486,0.66,0.69,12844.0,2287.0,STO,130.0,0.47,0.49,20620.0,3641.0,5.0,0.21999999999999997,,,False,34.091396695987996,6.591396695987996
2026-08-27,LLY,buy-first puke,good,,76.46825396825398,1175.43,-5.646307103237347,-8.481266934504328,-0.8617570451383783,6.124601095521265,58.88157894736842,34.33,32.6676,2.1077999999999975,74.2063492063492,-0.9530999999999992,19.047619047619047,0.7563999999999993,1.3181999999999974,29.365079365079364,-0.6223000000000027,35.714285714285715,11.507936507936508,22.22222222222222,48242.2,366180,3393948131.5200005,93.8862,4.53807,0000-00-00,9,False,Major Pharmaceuticals,Healthcare,XLV,304,270,False,no roughly $5-wide spread 20-35% OTM in 30-90 DTE,,,,,,,,,,,,,,,,,,,,False,,
2026-08-14,LUV,buy-first puke,good,,75.87301587301587,44.25,-6.090831918505934,-9.78593272171253,-6.113147978409206,11.735358141264584,66.55737704918033,19.28,36.5493,4.0364,64.28571428571429,-1.902700000000003,11.11111111111111,-3.0693000000000055,2.1751999999999967,61.507936507936506,3.243000000000002,63.888888888888886,20.634920634920636,12.301587301587302,8740.3,240300,238656620.02,80.1738,4.99287,0000-00-00,9,False,Airlines,Industrials,XLI,305,264,False,one leg lacks a bid,2026-09-18,36.0,BTO,55.0,0.026590780729947656,0.0,0.07,18787.0,13.0,STO,57.5,0.0,0.11,1179.0,0.0,2.5,0.07,,,False,24.29378531073447,3.206214689265529
2026-08-12,XPEV,buy-first puke,good,,68.03571428571429,11.73,-0.3398470688190214,-16.98513800424628,-12.73100616016426,-29.48066477641511,5.573770491803279,47.13,61.0202,0.5658999999999921,82.53968253968254,0.1901999999999972,4.365079365079365,0.758899999999997,12.735300000000002,45.23809523809524,-1.7518999999999991,44.04761904761905,42.06349206349206,3.968253968253968,21682.6,594492,78721061.76,50.9749,10.14598,0000-00-00,1,True,Automobile Manufacturing,C. Cyclical,XLY,305,260,False,earnings inside expiry,2026-09-18,38.0,BTO,15.0,0.14559975063182046,0.15,0.18,8462.0,695.0,STO,20.0,0.01,0.08,8541.0,5.0,5.0,0.16999999999999998,,,True,27.877237851662407,0.3772378516624073
2026-08-14,LI,buy-first puke,good,,67.59920634920634,12.27,-5.469953775038528,-11.34393063583815,-4.419898110209209,-37.77410215383253,1.9672131147540983,9.57,50.1527,1.3992000000000004,77.77777777777777,-0.0060000000000002,3.5714285714285716,1.6253000000000029,-0.640500000000003,2.7777777777777777,-6.943100000000001,23.80952380952381,17.063492063492063,28.96825396825397,5856.55,209619,43687359.54,75.8262,7.72946,0000-00-00,1,True,Automobile Manufacturing,C. Cyclical,XLY,305,264,False,one leg lacks a bid; earnings inside expiry,2026-09-18,36.0,BTO,16.0,0.07475948966828469,0.05,0.12,1577.0,1.0,STO,19.0,0.0,0.11,5178.0,0.0,3.0,0.12,,,True,30.399348003259984,2.899348003259984
2026-08-13,CVS,buy-first puke,good,,66.4484126984127,94.59,-2.1111456069543566,-14.219642695202683,-7.383472958206527,-5.665088624944159,31.147540983606557,7.64,24.193,2.738500000000002,75.0,-0.9410000000000024,21.03174603174603,1.6433999999999962,0.6575999999999951,32.142857142857146,-0.2784000000000013,49.6031746031746,18.253968253968253,8.73015873015873,21439.65,350091,796541777.92,72.4678,4.38968,0000-00-00,10,False,Health Insurance & Managed Care,Healthcare,XLV,305,265,False,spread debit outside 0.05-0.50; one leg lacks a bid; combined leg quote widths exceed 0.20; one leg has OI below 25,2026-09-25,44.0,BTO,115.0,0.020610010924488217,0.0,0.75,0.0,0.0,STO,120.0,0.0,0.75,0.0,0.0,5.0,0.75,,,False,21.577333756211004,5.922666243788996
