rule,mode,era,horizon,signals,valid_outcomes,censored,stocks,months,joint_down_pct,joint_ci_low,joint_ci_high,spot_down_pct,iv10_down_pct,wing_down_pct,down_vol_up_pct,mean_return_pct,median_return_pct,mean_iv10_change_points,mean_iv30_change_points,mean_wing_change_points,signal_entry_return_pct,signal_entry_iv10_points
high_rank,all_signals,all,2,29025,28954,71,309,32,24.95337431788354,23.521489139881393,26.38962396544233,49.89638737307453,50.82199350694204,58.77253574635629,24.943013055190992,0.17818945248387363,0.0,-0.441421106928231,-0.28655016578020315,-1.0094818978379498,0.07862903071636632,-0.17437363369482625
high_rank,all_signals,all,3,29025,28940,85,309,32,24.823773324118868,22.948324967846215,26.49676117734619,49.274360746371805,50.48721492743608,60.72909467864548,24.450587422252937,0.26194711182784286,0.05665951686806281,-0.6801669692467174,-0.42550442985487213,-1.3708625421561849,0.07964035076177518,-0.17402065964063582
high_rank,all_signals,2024–2025,1,21130,21128,2,304,24,26.06493752366528,24.371731506677932,27.48575506909065,49.80121166224915,52.61737978038622,56.25236652783037,23.73627413858387,0.12935186473053806,0.0,-0.28114408273381297,-0.15008338697463086,-0.607780988262022,0.06564085761427374,-0.21994673845134421
high_rank,all_signals,2024–2025,2,21130,21126,4,304,24,25.14910536779324,23.356489916723035,26.6591132956295,49.72072327937139,51.505254189150804,59.26346681813879,24.57161791157815,0.18814806882242932,0.0,-0.5781962098835558,-0.33642507336930794,-1.0951285084729716,0.06628160275557766,-0.21768397188298783
high_rank,all_signals,2024–2025,3,21130,21124,6,304,24,25.454459382692672,23.37663799621209,27.404594233050407,49.313576974057945,51.52906646468472,61.55557659534179,23.859117591365273,0.27061962762981673,0.042930365487536815,-0.8662924630751753,-0.5019629331565991,-1.5293353564665784,0.06620193012126138,-0.2177969177239159
high_rank,all_signals,2026,1,7895,7850,45,280,9,25.630573248407647,22.548813525182073,28.06265170295118,49.93630573248408,52.12738853503185,55.12101910828026,24.305732484076433,0.026669292116666223,0.0,-0.031670777070063744,-0.07980026751592359,-0.4516466878980891,0.114425088739456,-0.05855765605095533
high_rank,all_signals,2026,2,7895,7828,67,280,8,24.425140521205925,21.301304810397113,27.53143712682875,50.37046499744506,48.97802759325498,57.44762391415432,25.94532447623914,0.1513134012871021,-0.033304220868668466,-0.07229606540623408,-0.15194908022483397,-0.778341083290751,0.11195194373369148,-0.05748883495145626
high_rank,all_signals,2026,3,7895,7816,79,280,8,23.11924257932446,19.088191252204506,27.022741922376376,49.168372569089044,47.671443193449335,58.49539406345957,26.049129989764587,0.2385082397959986,0.09838705103571987,-0.17713281729785066,-0.21886299897645858,-0.9425642144319344,0.11595984892070733,-0.05570826509723638
high_rank,nonoverlap,all,1,11366,11336,30,309,33,25.0,23.567298649603902,26.362698656892505,49.10021171489061,51.87896965419901,55.61926605504587,24.100211714890616,0.13768805639139745,0.031546972540885676,-0.1311475608680311,-0.11257804340155264,-0.5066678819689485,0.07057334995105195,-0.0816522794636556
high_rank,nonoverlap,all,2,11366,11324,42,309,32,23.754856941010242,22.43592252751792,25.06160272634477,49.311197456729076,49.42599788060756,57.983044860473335,25.55634051571883,0.23942123672125998,0.03546768409043999,-0.18520563670081247,-0.19052656305192517,-0.8240900891910984,0.06964534583602289,-0.08064030731190393
high_rank,nonoverlap,all,3,11366,11321,45,309,32,23.195830757000266,21.584669795553342,24.733387212643677,48.564614433353945,48.75011041427435,59.40287960427524,25.36878367635368,0.3655052607439184,0.12439100238417211,-0.36102121632364637,-0.26916490592703834,-1.0368255427965727,0.07019602768946005,-0.0801138097341224
high_rank,nonoverlap,2024–2025,1,8145,8143,2,304,24,24.560972614515535,22.884901168967186,26.110436503151313,48.77809161242786,51.22190838757214,56.19550534201154,24.21711899791232,0.1884397328807211,0.043177892918833116,-0.14334856318310205,-0.11791407343730818,-0.5539204605182364,0.020402931486781135,-0.05513440255434114
high_rank,nonoverlap,2024–2025,2,8145,8143,2,304,24,23.48028981947685,21.978565705128204,24.83289411426398,48.753530639813334,49.88333538008105,58.55335871300503,25.273240820336483,0.26705452587100825,0.07439685407588659,-0.2803812145400958,-0.23890941913299776,-0.8865999471939087,0.020402931486781135,-0.05513440255434114
