ticker,start_date,end_date,status,available_sessions,unavailable_sessions,row_count,error,captured_at_utc
CELH,2026-08-26,2026-09-02,success,4,2,112376,,2026-09-03T11:40:52.385859+00:00
CIFR,2026-08-29,2026-09-02,success,3,0,84289,,2026-09-03T11:41:09.458597+00:00
CLF,2026-08-26,2026-09-02,success,4,2,112342,,2026-09-03T11:41:32.435632+00:00
CMCSA,2026-08-25,2026-09-02,success,4,3,112142,,2026-09-03T11:41:54.681110+00:00
CMG,2026-08-27,2026-09-02,success,5,0,140422,,2026-09-03T11:42:22.382034+00:00
COIN,2026-08-29,2026-09-02,success,3,0,84349,,2026-09-03T11:42:43.817622+00:00
COP,2026-08-28,2026-09-02,success,4,0,112180,,2026-09-03T11:43:05.992468+00:00
COST,2026-08-26,2026-09-02,success,4,2,112377,,2026-09-03T11:43:25.284627+00:00
CPNG,2026-08-29,2026-09-02,success,3,0,83970,,2026-09-03T11:43:45.049050+00:00
CRDO,2026-08-25,2026-09-02,success,4,3,112680,,2026-09-03T11:44:07.798867+00:00
CRSP,2026-08-29,2026-09-02,success,3,0,84121,,2026-09-03T11:44:26.186214+00:00
CRWV,2026-08-25,2026-09-02,success,4,3,112518,,2026-09-03T11:44:50.364027+00:00
CVNA,2026-08-25,2026-09-02,success,4,3,112330,,2026-09-03T11:45:13.655893+00:00
CVS,2026-08-29,2026-09-02,success,3,0,84253,,2026-09-03T11:45:29.735700+00:00
DAL,2026-08-25,2026-09-02,success,4,3,112366,,2026-09-03T11:45:52.531682+00:00
DASH,2026-08-25,2026-09-02,success,4,3,112338,,2026-09-03T11:46:14.187269+00:00
DIS,2026-08-25,2026-09-02,success,4,3,112276,,2026-09-03T11:46:34.496047+00:00
DJT,2026-08-29,2026-09-02,success,3,0,84269,,2026-09-03T11:46:56.453901+00:00
EBAY,2026-08-29,2026-09-02,success,3,0,83617,,2026-09-03T11:47:14.744355+00:00
ENPH,2026-08-25,2026-09-02,success,4,3,112353,,2026-09-03T11:47:34.927031+00:00
ETSY,2026-08-26,2026-09-02,success,4,2,112249,,2026-09-03T11:48:00.405373+00:00
