ticker,signal_date,entry_date,reference_month,era,common_nonoverlap,outside_prior_six,horizon,economic,mechanical,paired_observed,difference,both_entered,both_complete_worst_cover_difference
AKAM,2026-04-02,2026-04-06,2026-04,2026,True,True,2,0.0,0.0,True,0.0,False,
AKAM,2026-04-02,2026-04-06,2026-04,2026,True,True,4,0.0,0.0,True,0.0,False,
BKNG,2024-12-10,2024-12-11,2024-12,2024-2025,True,True,2,0.0,,False,,False,
BKNG,2024-12-10,2024-12-11,2024-12,2024-2025,True,True,4,0.0,,False,,False,
BMY,2024-07-29,2024-07-30,2024-07,2024-2025,True,True,2,0.0,-0.2999999999999996,True,0.2999999999999996,False,
BMY,2024-07-29,2024-07-30,2024-07,2024-2025,True,True,4,0.0,,False,,False,
BMY,2024-07-30,2024-07-31,2024-07,2024-2025,False,True,2,0.0,-7.300000000000001,True,7.300000000000001,False,
BMY,2024-07-30,2024-07-31,2024-07,2024-2025,False,True,4,0.0,,False,,False,
BMY,2024-07-31,2024-08-01,2024-08,2024-2025,False,True,2,0.0,,False,,False,
BMY,2024-07-31,2024-08-01,2024-08,2024-2025,False,True,4,0.0,,False,,False,
BMY,2024-08-01,2024-08-02,2024-08,2024-2025,False,True,2,0.0,,False,,False,
BMY,2024-08-01,2024-08-02,2024-08,2024-2025,False,True,4,0.0,,False,,False,
BMY,2026-03-25,2026-03-26,2026-03,2026,True,True,2,0.0,,False,,False,
BMY,2026-03-25,2026-03-26,2026-03,2026,True,True,4,0.0,,False,,False,
BMY,2026-03-26,2026-03-27,2026-03,2026,False,True,2,0.0,,False,,False,
BMY,2026-03-26,2026-03-27,2026-03,2026,False,True,4,0.0,,False,,False,
BMY,2026-03-27,2026-03-30,2026-03,2026,False,True,2,0.0,-29.300000000000004,True,29.300000000000004,False,
BMY,2026-03-27,2026-03-30,2026-03,2026,False,True,4,0.0,8.7,True,-8.7,False,
C,2025-10-27,2025-10-28,2025-10,2024-2025,True,True,2,0.0,,False,,False,
C,2025-10-27,2025-10-28,2025-10,2024-2025,True,True,4,0.0,,False,,False,
CMG,2024-07-25,2024-07-26,2024-07,2024-2025,True,True,2,0.0,,False,,False,
CMG,2024-07-25,2024-07-26,2024-07,2024-2025,True,True,4,0.0,,False,,False,
CMG,2024-07-26,2024-07-29,2024-07,2024-2025,False,True,2,0.0,,False,,False,
CMG,2024-07-26,2024-07-29,2024-07,2024-2025,False,True,4,0.0,,False,,False,
CMG,2024-07-29,2024-07-30,2024-07,2024-2025,False,True,2,0.0,-8.299999999999999,True,8.299999999999999,False,
CMG,2024-07-29,2024-07-30,2024-07,2024-2025,False,True,4,0.0,,False,,False,
CMG,2024-07-30,2024-07-31,2024-07,2024-2025,False,True,2,0.0,11.699999999999998,True,-11.699999999999998,False,
CMG,2024-07-30,2024-07-31,2024-07,2024-2025,False,True,4,0.0,,False,,False,
CMG,2024-07-31,2024-08-01,2024-08,2024-2025,False,True,2,0.0,,False,,False,
CMG,2024-07-31,2024-08-01,2024-08,2024-2025,False,True,4,0.0,,False,,False,
CMG,2024-08-01,2024-08-02,2024-08,2024-2025,False,True,2,0.0,,False,,False,
CMG,2024-08-01,2024-08-02,2024-08,2024-2025,False,True,4,0.0,,False,,False,
CMG,2026-03-25,2026-03-26,2026-03,2026,True,True,2,0.0,,False,,False,
CMG,2026-03-25,2026-03-26,2026-03,2026,True,True,4,0.0,,False,,False,
CMG,2026-03-26,2026-03-27,2026-03,2026,False,True,2,0.0,,False,,False,
