ticker,date,selector,reason,strike,expiry,gross,maximum_gross,net,maximum_net,wing,shock,rally_loss,ratio,exceeds_bound
OKTA,2025-03-27,mechanical,selected,121.0,2025-04-04,0.0,28.000000000000004,-5.300000000000002,22.7,-1.1805675554902861,0.0,12.268703124154673,-0.4319934997502173,False
OKTA,2025-03-28,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2025-03-28,mechanical,selected,116.0,2025-04-04,0.0,27.0,-9.300000000000002,17.7,-2.588215906260155,0.0,11.92209945811694,-0.7800639503697707,False
OKTA,2025-03-31,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2025-03-31,mechanical,selected,116.0,2025-04-11,0.0,40.0,-13.300000000000004,26.7,-3.7964257176728355,0.0,12.350120934839685,-1.0769125314781907,False
OKTA,2025-04-01,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2025-04-01,mechanical,selected,115.0,2025-04-11,0.0,34.0,-10.3,23.7,-2.6890979869170106,0.0,11.092073106219026,-0.9285910669147203,False
OKTA,2025-04-02,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2025-04-02,mechanical,selected,115.0,2025-04-11,0.0,33.0,-7.300000000000003,25.699999999999996,-3.005802871658003,0.0,12.152360423506927,-0.6007063439197576,False
OKTA,2025-04-03,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2025-04-03,mechanical,selected,109.0,2025-04-11,0.0,52.0,-10.3,41.7,-4.849572594648189,0.0,12.65545919901703,-0.8138780140668478,False
OKTA,2026-03-25,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-03-25,mechanical,selected,85.0,2026-04-02,0.0,33.0,-26.3,6.7,-11.672553949775505,0.0,8.45482734811811,-3.110648972134706,False
OKTA,2026-03-26,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-03-26,mechanical,selected,87.0,2026-04-02,0.0,28.999999999999996,-24.299999999999997,4.7,-10.160021765227873,0.0,7.904699861634384,-3.07412051378959,False
OKTA,2026-03-27,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-03-27,mechanical,selected,82.0,2026-04-10,0.0,79.0,-58.300000000000004,20.7,-10.088752878639252,0.0,8.338290667881683,-6.99184069278925,False
OKTA,2026-03-30,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-03-30,mechanical,selected,85.0,2026-04-10,0.0,43.0,-14.299999999999997,28.7,-11.72027585046196,0.0,8.448098346372282,-1.6926886281029854,False
OKTA,2026-03-31,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-03-31,mechanical,selected,87.0,2026-04-10,0.0,40.0,-21.300000000000004,18.7,-8.751286212301657,0.0,9.45614235489814,-2.2525041608502145,False
OKTA,2026-04-01,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-04-01,mechanical,selected,87.0,2026-04-10,0.0,36.0,-14.299999999999997,21.7,-4.780023855544463,0.0,9.67736885885538,-1.4776743770508065,False
OKTA,2026-04-02,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-04-02,mechanical,selected,87.0,2026-04-10,0.0,40.0,-21.300000000000004,18.7,-6.075302797618298,0.0,10.147650312118069,-2.099008080182274,False
OKTA,2026-04-06,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-04-06,mechanical,selected,90.0,2026-04-17,0.0,34.0,-9.3,24.700000000000003,-6.117222685572399,0.0,9.267455925100787,-1.0035116514351117,False
OKTA,2026-04-07,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-04-07,mechanical,selected,89.0,2026-04-17,0.0,75.0,-61.29999999999999,13.7,-9.773693418039059,0.0,8.333851209548635,-7.355542888714475,False
OKTA,2026-04-08,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-04-08,mechanical,selected,86.0,2026-04-17,0.0,40.0,-28.3,11.7,-6.654185055423229,0.0,7.576771300144331,-3.735100200194892,False
OKTA,2026-04-09,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-04-09,mechanical,selected,76.0,2026-04-17,0.0,54.0,-39.300000000000004,14.7,-4.7819828773275175,0.0,6.506689592847348,-6.039937734727899,False
OKTA,2026-04-10,economic,no_positive_net_scenario,,,,,,,,,,,
