distinct_episodes,scenario,entry_mode,method,horizon,attempts,priced,paired,winners,pnl_sum,pnl_mean,pnl_median,worst,slippage_sum,complete_horizon,complete_horizon_pnl
True,sell-first call grab,clock,price_finance,2,3,3,2,2,-24.500000000000014,-8.166666666666671,3.4,-32.300000000000004,-34.500000000000014,3,-24.500000000000014
True,sell-first call grab,clock,simultaneous,-1,3,3,3,1,-42.80000000000001,-14.266666666666671,-14.6,-34.60000000000001,-54.80000000000001,3,-42.80000000000001
True,sell-first call grab,clock,standalone,-1,3,3,0,2,56.099999999999994,18.7,11.7,-21.300000000000008,50.099999999999994,3,56.099999999999994
True,sell-first call grab,hiro,fixed_clock,0,2,2,2,0,-12.2,-6.1,-6.1,-11.599999999999998,-20.2,2,-12.2
True,sell-first call grab,hiro,fixed_clock,1,2,2,2,2,13.799999999999994,6.899999999999997,6.899999999999997,3.399999999999993,5.799999999999994,2,13.799999999999994
True,sell-first call grab,hiro,fixed_clock,2,2,2,2,2,26.800000000000004,13.400000000000002,13.400000000000002,11.400000000000002,18.800000000000004,2,26.800000000000004
True,sell-first call grab,hiro,hiro_finance,0,2,2,0,2,14.399999999999995,7.1999999999999975,7.1999999999999975,5.699999999999995,10.399999999999995,2,14.399999999999995
True,sell-first call grab,hiro,hiro_finance,1,2,2,2,2,10.799999999999994,5.399999999999997,5.399999999999997,4.399999999999993,2.7999999999999936,2,10.799999999999994
True,sell-first call grab,hiro,hiro_finance,2,2,2,2,2,10.799999999999994,5.399999999999997,5.399999999999997,4.399999999999993,2.7999999999999936,2,10.799999999999994
True,sell-first call grab,hiro,price_finance,0,2,2,1,2,9.099999999999994,4.549999999999997,4.549999999999997,3.4,3.0999999999999948,2,9.099999999999994
True,sell-first call grab,hiro,price_finance,1,2,2,2,2,11.799999999999997,5.899999999999999,5.899999999999999,3.4,3.7999999999999967,2,11.799999999999997
True,sell-first call grab,hiro,price_finance,2,2,2,2,2,11.799999999999997,5.899999999999999,5.899999999999999,3.4,3.7999999999999967,2,11.799999999999997
True,sell-first call grab,hiro,simultaneous,-1,2,2,2,0,-55.20000000000002,-27.60000000000001,-27.60000000000001,-34.60000000000001,-63.20000000000002,2,-55.20000000000002
True,sell-first call grab,hiro,standalone,-1,2,2,0,2,67.4,33.7,33.7,15.7,63.400000000000006,2,67.4
