ticker,session_date,captured,path,sha256,points,first,last
HOOD,2026-09-02,2026-09-03T11:53:22.551305+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=HOOD/date=2026-09-02/normalized/hiro_series.csv,f49d1e145222ab1f17ce3a82fc2d5fe7b06df372bd37f87d8ce382a12f1ea89a,4681,2026-09-02 09:30:00-04:00,2026-09-02 16:00:00-04:00
IREN,2026-08-27,2026-09-03T11:55:40.573625+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=IREN/date=2026-08-27/normalized/hiro_series.csv,7179f30df7421cdfea57f06ced6773c84846d394fdd2fb003ad196a601505727,4681,2026-08-27 09:30:00-04:00,2026-08-27 16:00:00-04:00
IREN,2026-08-28,2026-09-03T11:55:40.573625+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=IREN/date=2026-08-28/normalized/hiro_series.csv,f7a3fbf9d4f1080fe9499074efaef182cfae1afccd789df71d3b5780ea32aeaa,4681,2026-08-28 09:30:00-04:00,2026-08-28 16:00:00-04:00
IREN,2026-08-31,2026-09-03T11:55:40.573625+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=IREN/date=2026-08-31/normalized/hiro_series.csv,50a81d4dd75c82441bd31bce6eef1d4c203a4b4ccc1633dc96b5139c06668010,4681,2026-08-31 09:30:00-04:00,2026-08-31 16:00:00-04:00
IREN,2026-09-01,2026-09-03T11:55:40.573625+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=IREN/date=2026-09-01/normalized/hiro_series.csv,7ce32ee57885eae0563dcac8fa9d170724bb1452530462a283145ee4b92c1dbd,4681,2026-09-01 09:30:00-04:00,2026-09-01 16:00:00-04:00
IREN,2026-09-03,2026-09-04T22:37:51.180863+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_pandar_approved_2026-08-11_to_2026-09-04/hiro_ticker_followthrough_to_2026-09-04_missing_followups/ticker=IREN/date=2026-09-03/normalized/hiro_series.csv,cd83326d10e35378e669cc2fb1b18645bbdea299321c70bc6bd7c8ffd4d2fd38,4681,2026-09-03 09:30:00-04:00,2026-09-03 16:00:00-04:00
IREN,2026-09-04,2026-09-04T22:37:51.180863+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_pandar_approved_2026-08-11_to_2026-09-04/hiro_ticker_followthrough_to_2026-09-04_missing_followups/ticker=IREN/date=2026-09-04/normalized/hiro_series.csv,0391937576e49331d8df0a3fcecc656432f5db6bef394303571b2309d27bdaff,4681,2026-09-04 09:30:00-04:00,2026-09-04 16:00:00-04:00
MRNA,2026-08-27,2026-09-03T12:03:49.556380+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=MRNA/date=2026-08-27/normalized/hiro_series.csv,b348df9c38b895f840e90b13bc4c703510468e75bd0228905cbcf4d8f0fa1d24,4681,2026-08-27 09:30:00-04:00,2026-08-27 16:00:00-04:00
MRNA,2026-08-28,2026-09-03T12:03:49.556380+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=MRNA/date=2026-08-28/normalized/hiro_series.csv,437bb09f4ccfdbbd4fcfe1bfc60ff789f30e70edbb0a2ed5880ed4bcd5ccf564,4681,2026-08-28 09:30:00-04:00,2026-08-28 16:00:00-04:00
MRNA,2026-08-31,2026-09-03T12:03:49.556380+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=MRNA/date=2026-08-31/normalized/hiro_series.csv,ed97f397885af180d0f10453d81f10515b7c9e1b9957009994449e1e31866c14,4681,2026-08-31 09:30:00-04:00,2026-08-31 16:00:00-04:00
MRNA,2026-09-01,2026-09-03T12:03:49.556380+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=MRNA/date=2026-09-01/normalized/hiro_series.csv,7b9013ec4fa65d679600ef599113219c15652aff082b0d21f0bc98049a66f631,4681,2026-09-01 09:30:00-04:00,2026-09-01 16:00:00-04:00
