ticker,start_date,end_date,status,available_sessions,unavailable_sessions,row_count,error,captured_at_utc
ETSY,2026-09-04,2026-09-04,success,1,0,27781,,2026-09-04T22:15:16.348235+00:00
FDX,2026-09-04,2026-09-04,success,1,0,27914,,2026-09-04T22:15:27.124256+00:00
FSLR,2026-09-04,2026-09-04,success,1,0,28088,,2026-09-04T22:15:37.068083+00:00
GAP,2026-09-04,2026-09-04,success,1,0,28067,,2026-09-04T22:15:47.016484+00:00
GE,2026-09-04,2026-09-04,success,1,0,28085,,2026-09-04T22:16:01.109642+00:00
GILD,2026-09-04,2026-09-04,success,1,0,27978,,2026-09-04T22:16:09.861782+00:00
GM,2026-09-04,2026-09-04,success,1,0,28079,,2026-09-04T22:16:19.604463+00:00
GOOG,2026-09-04,2026-09-04,success,1,0,28126,,2026-09-04T22:16:29.776896+00:00
GOOGL,2026-09-04,2026-09-04,success,1,0,28132,,2026-09-04T22:16:40.644175+00:00
HIMS,2026-09-04,2026-09-04,success,1,0,28091,,2026-09-04T22:16:52.031027+00:00
IONQ,2026-09-04,2026-09-04,success,1,0,28169,,2026-09-04T22:17:02.558135+00:00
JPM,2026-09-04,2026-09-04,success,1,0,28090,,2026-09-04T22:17:16.564451+00:00
LEN,2026-09-04,2026-09-04,success,1,0,27816,,2026-09-04T22:17:27.443273+00:00
LMND,2026-09-04,2026-09-04,success,1,0,27949,,2026-09-04T22:17:39.757219+00:00
LMT,2026-09-04,2026-09-04,success,1,0,28090,,2026-09-04T22:17:49.936272+00:00
LUV,2026-09-04,2026-09-04,success,1,0,28036,,2026-09-04T22:17:59.173328+00:00
LVS,2026-09-04,2026-09-04,success,1,0,27944,,2026-09-04T22:18:10.741989+00:00
M,2026-09-04,2026-09-04,success,1,0,27946,,2026-09-04T22:18:20.214418+00:00
MA,2026-09-04,2026-09-04,success,1,0,28020,,2026-09-04T22:18:28.949990+00:00
MDB,2026-09-04,2026-09-04,success,1,0,28091,,2026-09-04T22:18:37.991804+00:00
MMM,2026-09-04,2026-09-04,success,1,0,28048,,2026-09-04T22:18:48.042077+00:00
MRNA,2026-09-04,2026-09-04,success,1,0,28097,,2026-09-04T22:18:58.574721+00:00
MRVL,2026-09-04,2026-09-04,success,1,0,28154,,2026-09-04T22:19:07.187430+00:00
MSFT,2026-09-04,2026-09-04,success,1,0,28123,,2026-09-04T22:19:20.962505+00:00
MSTR,2026-09-04,2026-09-04,success,1,0,28170,,2026-09-04T22:19:33.238176+00:00
MU,2026-09-04,2026-09-04,success,1,0,28349,,2026-09-04T22:19:47.556474+00:00
NBIS,2026-09-04,2026-09-04,success,1,0,28175,,2026-09-04T22:19:59.308433+00:00
NCLH,2026-09-04,2026-09-04,success,1,0,28055,,2026-09-04T22:20:10.565625+00:00
NEE,2026-09-04,2026-09-04,success,1,0,28022,,2026-09-04T22:20:23.235079+00:00
NVDA,2026-09-04,2026-09-04,success,1,0,28298,,2026-09-04T22:20:36.070554+00:00
OKLO,2026-09-04,2026-09-04,success,1,0,28104,,2026-09-04T22:20:49.472453+00:00
ON,2026-09-04,2026-09-04,success,1,0,28083,,2026-09-04T22:20:58.821206+00:00
ONON,2026-09-04,2026-09-04,success,1,0,28078,,2026-09-04T22:21:11.980439+00:00
OXY,2026-09-04,2026-09-04,success,1,0,28088,,2026-09-04T22:21:22.913058+00:00
PEP,2026-09-04,2026-09-04,success,1,0,28091,,2026-09-04T22:21:31.213018+00:00
PINS,2026-09-04,2026-09-04,success,1,0,28084,,2026-09-04T22:21:41.118438+00:00
QUBT,2026-09-04,2026-09-04,success,1,0,28090,,2026-09-04T22:21:55.520669+00:00
RBLX,2026-09-04,2026-09-04,success,1,0,28089,,2026-09-04T22:22:07.171539+00:00
RCL,2026-09-04,2026-09-04,success,1,0,28054,,2026-09-04T22:22:20.136355+00:00
RGTI,2026-09-04,2026-09-04,success,1,0,28096,,2026-09-04T22:22:33.622857+00:00
RIOT,2026-09-04,2026-09-04,success,1,0,28097,,2026-09-04T22:22:42.861510+00:00
RIVN,2026-09-04,2026-09-04,success,1,0,28092,,2026-09-04T22:22:53.706472+00:00
RTX,2026-09-04,2026-09-04,success,1,0,28080,,2026-09-04T22:23:05.322953+00:00
RUN,2026-09-04,2026-09-04,success,1,0,28083,,2026-09-04T22:23:18.605270+00:00
SCHW,2026-09-04,2026-09-04,success,1,0,28073,,2026-09-04T22:23:27.780829+00:00
SEDG,2026-09-04,2026-09-04,success,1,0,28086,,2026-09-04T22:23:36.260013+00:00
SHOP,2026-09-04,2026-09-04,success,1,0,28091,,2026-09-04T22:23:44.784609+00:00
SNOW,2026-09-04,2026-09-04,success,1,0,28089,,2026-09-04T22:23:53.997491+00:00
T,2026-09-04,2026-09-04,success,1,0,28088,,2026-09-04T22:24:02.644234+00:00
TFC,2026-09-04,2026-09-04,success,1,0,28078,,2026-09-04T22:24:12.147342+00:00
TGT,2026-09-04,2026-09-04,success,1,0,28086,,2026-09-04T22:24:25.699636+00:00
TOST,2026-09-04,2026-09-04,success,1,0,28087,,2026-09-04T22:24:34.628793+00:00
TSM,2026-09-04,2026-09-04,success,1,0,28112,,2026-09-04T22:24:47.801176+00:00
TXN,2026-09-04,2026-09-04,success,1,0,28088,,2026-09-04T22:24:58.297699+00:00
UAL,2026-09-04,2026-09-04,success,1,0,28086,,2026-09-04T22:25:09.068289+00:00
UNH,2026-09-04,2026-09-04,success,1,0,28091,,2026-09-04T22:25:17.218107+00:00
UPS,2026-09-04,2026-09-04,success,1,0,27992,,2026-09-04T22:25:29.762785+00:00
UPST,2026-09-04,2026-09-04,success,1,0,28086,,2026-09-04T22:25:43.633048+00:00
VFC,2026-09-04,2026-09-04,success,1,0,27992,,2026-09-04T22:25:52.434184+00:00
VRT,2026-09-04,2026-09-04,success,1,0,28103,,2026-09-04T22:26:01.856066+00:00
VST,2026-09-04,2026-09-04,success,1,0,28098,,2026-09-04T22:26:16.538096+00:00
W,2026-09-04,2026-09-04,success,1,0,28054,,2026-09-04T22:26:25.628385+00:00
WFC,2026-09-04,2026-09-04,success,1,0,27984,,2026-09-04T22:26:37.647640+00:00
WMT,2026-09-04,2026-09-04,success,1,0,28098,,2026-09-04T22:26:48.843043+00:00
WULF,2026-09-04,2026-09-04,success,1,0,28089,,2026-09-04T22:26:58.437649+00:00
WYNN,2026-09-04,2026-09-04,success,1,0,27999,,2026-09-04T22:27:11.734776+00:00
XYZ,2026-09-04,2026-09-04,success,1,0,28092,,2026-09-04T22:27:19.940595+00:00
