expiry,strike,dte,stock,delta,otm_pct,bid,ask,quote_width,width_pct_of_bid,oi,wing_mid_excess_points,wing_bid_excess_points,nearer_strike,nearer_ask,event_inside_estimate,all_original_contract_gates,without_delta_band,without_absolute_width,tradeDate,ticker,original_surface_pass,ivRank1y,rr25_pct252,event_estimate_available,original_selected_contract,original_ticker_chain_pass
2026-08-14,567.5,3,548.18,0.3801745245463577,3.5243897989711392,11.45,14.45,3.0,26.200873362445414,148,2.525922568985961,-7.081519790938251,565.0,15.05,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,570.0,3,548.18,0.3628318272916663,3.980444379583359,11.25,12.75,1.5,13.333333333333334,412,1.8502869784845277,-3.1332493638894343,567.5,14.45,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,572.5,3,548.18,0.3460369575334912,4.436498960195556,10.5,12.85,2.3499999999999996,22.380952380952376,37,4.922747349672041,-2.8650735456679843,570.0,12.75,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,575.0,3,548.18,0.32951577815910993,4.892553540807776,9.85,11.45,1.5999999999999996,16.24365482233502,183,3.16596719007749,-2.3022606147607094,572.5,12.85,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,577.5,3,548.18,0.31369768203141757,5.348608121419973,9.2,11.15,1.950000000000001,21.195652173913057,830,4.821322399362282,-1.9316084395258004,575.0,11.45,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,580.0,3,548.18,0.29804895313615176,5.804662702032193,8.8,9.9,1.0999999999999996,12.499999999999995,377,3.8867151777691955,0.015085171542894571,577.5,11.15,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,582.5,3,548.18,0.28313174424189996,6.26071728264439,7.7,9.75,2.05,26.623376623376622,21,4.012336411382922,-3.4792157507530064,580.0,9.9,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,585.0,3,548.18,0.2684765096216711,6.71677186325661,7.35,8.85,1.5,20.408163265306122,167,3.8614816576269195,-1.7164273170537703,582.5,9.75,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,587.5,3,548.18,0.2544019124082971,7.172826443868807,6.9,8.4,1.5,21.73913043478261,38,4.844293993602156,-0.9718508960326666,585.0,8.85,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,590.0,3,548.18,0.24096343103084367,7.628881024481027,6.4,7.2,0.7999999999999998,12.499999999999996,315,2.475867670129017,-0.6435316896170606,587.5,8.4,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,592.5,3,548.18,0.22756414803975936,8.084935605093225,5.9,6.95,1.0499999999999998,17.796610169491522,51,3.5071659999998728,-0.8528058939620164,590.0,7.2,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,595.0,3,548.18,0.21504128253486593,8.540990185705443,5.5,6.7,1.2000000000000002,21.818181818181824,50,4.795941899907308,-0.22505010513926837,592.5,6.95,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,597.5,3,548.18,0.2027231101981966,8.997044766317641,4.65,6.3,1.6499999999999995,35.48387096774192,917,3.118728941212212,-4.177626207392615,595.0,6.7,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,600.0,3,548.18,0.19130083626341837,9.45309934692986,4.75,5.5,0.75,15.789473684210526,1542,3.8820153351278863,0.4686756686991256,597.5,6.3,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
