ticker,tradeDate,stockPrice,confidence,exErnIv30d,ieeEarnEffect,iv10d,iv30d,iv90d,mwAdj30,dlt5Iv10d,dlt5Iv30d,exErnDlt25Iv30d,exErnDlt75Iv30d,dlt95Iv10d,dlt95Iv30d,rr25,callskew,call_wing_30,call_wing_10,put_wing_10,call_kink,rr25_pct252,callskew_pct252,call_wing_10_pct252,put_wing_10_pct252,call_kink_pct252,iv10d_pct252,return_5d_pct,drawdown_20d_pct,sma50,sma200,extension_50d_pct,sma50_rising,above_200d,above_50d,return_63d_pct,relative_return_63d_pct,tradeDate_core,priorCls,mktCap,mktWidthVol,stkVolu,avgOptVolu20d,sector,nextErn,bestEtf,sectorName,ivPctile1m,ivPctile1y,confidence_core,wksNextErn,oi,ivRank1y,ivPct1y,ivRank1m,ivPct1m,dollar_stock_volume,broad_universe,liquid_final,rs63_cross_section_pct,buy_surface_tier,buy_technical_good,buy_first_standard,buy_first_puke,sell_archetype,earnings_near_front_expiry,sell_first_actionable,buy_score,sell_score,universe_size,liquid_universe_size,putskew,putskew_pct252,buy_first_put_tail_inventory,put_inventory_score,original_surface_pass,original_surface_reason
MSTR,2026-08-19,103.87,0.969345,73.5299,1.95013,76.61,73.5299,78.6669,0.0512693,98.4879,92.5615,78.4165,70.43469999999999,84.5524,91.4275,-7.981800000000007,4.886600000000001,19.031599999999997,21.877899999999997,7.942400000000006,5.926400000000001,0.3968253968253968,96.82539682539682,92.06349206349206,0.3968253968253968,84.92063492063492,66.66666666666667,9.405940594059414,0.0,100.02600000000001,145.6141,3.843000819786857,False,False,True,-37.04085343678021,-39.129533220070755,2026-08-19,92.52,41265646.0,5.12693,16008853,380247.45,Application Software,0000-00-00,XLK,Technology,67,67,96.9345,10,2868838,47.73,67.06,53.38,66.67,1481139079.56,True,True,1.639344262295082,,False,False,False,grab,False,True,10.1984126984127,53.45238095238095,305,268,,,,,True,Passed original surface
COIN,2026-08-20,171.56,0.986072,70.2888,2.18555,72.9254,70.2888,72.7139,0.0430392,95.21,88.1661,74.4117,67.17530000000001,70.96130000000001,71.0686,-7.236399999999989,4.122900000000001,17.877300000000005,22.284599999999998,-1.9640999999999877,7.043899999999994,0.0,98.01587301587301,98.41269841269842,0.3968253968253968,78.57142857142857,67.06349206349206,11.656361861373243,0.0,158.09720000000002,199.37665,8.515520831488477,False,False,True,-10.956557845019976,-10.78664982002525,2026-08-20,160.2,45263863.0,4.30392,7862140,138560.05,Financial Data & Exchanges,0000-00-00,XLF,Financials,67,73,98.6072,10,1166740,68.49,73.02,66.6,66.67,1259514828.0,True,True,20.983606557377048,,False,False,False,grab,False,True,10.09920634920635,53.76984126984127,305,267,,,,,True,Passed original surface
MRK,2026-08-20,149.1,0.828002,30.183,3.4107,31.335600000000003,30.183,32.3282,0.0409388,37.5753,33.6285,30.925000000000004,31.189299999999996,32.305499999999995,33.2415,0.26429999999999154,0.7420000000000044,3.4455000000000027,6.239699999999996,0.969899999999992,3.946799999999996,3.5714285714285716,96.42857142857143,98.41269841269842,1.1904761904761905,82.14285714285714,78.57142857142857,10.896243956861284,-2.248737953189539,127.3234,114.98884999999999,17.103376127247614,True,True,True,31.667255386789115,31.83716341178384,2026-08-20,152.2,367855291.0,4.09388,9480698,30443.95,Major Pharmaceuticals,0000-00-00,XLV,Healthcare,95,93,82.8002,10,547201,75.9,91.67,62.14,95.24,1442962235.6,True,True,88.52459016393442,,False,False,False,grab,False,False,10.535714285714286,53.948412698412696,305,267,,,,,False,IVR outside 30–70
MRNA,2026-08-20,129.92,0.960789,110.398,4.0,134.266,110.398,107.132,0.150008,170.615,135.215,118.021,105.67800000000001,135.776,113.313,-12.34299999999999,7.623000000000005,24.817000000000007,36.34900000000002,1.5100000000000193,35.400000000000006,1.1904761904761905,98.80952380952381,98.41269841269842,11.11111111111111,98.01587301587301,99.60317460317461,105.66724711097035,-22.95558322955584,65.3862,48.050599999999996,98.69636100583912,True,True,True,169.37590711175616,169.5458151367509,2026-08-20,174.38,51524565.0,15.00082,14374363,86942.2,Biotechnology,0000-00-00,XLV,Healthcare,95,100,96.0789,11,854947,58.35,99.6,51.2,95.24,2506601419.94,True,True,99.672131147541,,False,False,False,grab,False,False,10.178571428571427,54.742063492063494,305,267,,,,,False,more than 5% below 20-day high
MSTR,2026-08-20,112.06,0.978587,78.2645,2.33914,82.8479,78.2645,81.6067,0.0398799,109.542,101.441,84.0949,74.4046,89.95570000000001,95.6703,-9.690299999999993,5.830399999999997,23.176500000000004,26.694100000000006,7.107800000000012,8.100999999999999,0.0,99.2063492063492,96.42857142857143,0.0,88.88888888888889,81.34920634920636,14.370279648907935,0.0,99.93619999999999,144.83065,12.131539922470559,False,False,True,-32.63195863893231,-32.462050613937585,2026-08-20,104.25,44519383.0,3.98799,17351153,397418.85,Application Software,0000-00-00,XLK,Technology,90,81,97.8587,10,3013208,54.85,80.95,78.82,90.48,1808857700.25,True,True,3.278688524590164,,False,False,False,grab,False,True,10.03968253968254,54.08730158730158,305,267,,,,,True,Passed original surface
NEM,2026-08-20,127.39,0.79443,44.8738,2.05942,44.5023,44.8738,47.423500000000004,0.0462693,55.7721,50.829800000000006,46.6488,43.845099999999995,46.1028,44.4996,-2.8037000000000063,1.7749999999999986,5.956000000000003,11.269800000000004,1.6005000000000038,4.942299999999996,0.3968253968253968,96.82539682539682,97.22222222222223,9.920634920634921,76.19047619047619,38.095238095238095,11.942003514938481,0.0,100.69780000000003,106.08279999999999,26.507232531395886,False,True,True,18.612662942271886,18.78257096726661,2026-08-20,125.08,134229858.0,4.62693,7309055,26956.85,Gold,0000-00-00,XLB,Materials,100,58,79.443,9,599821,50.83,57.94,100.0,100.0,914216599.4,True,True,80.65573770491802,,False,False,False,grab,False,True,10.1984126984127,53.53174603174603,305,267,,,,,True,Passed original surface
MRK,2026-08-21,152.93,0.854288,28.711199999999998,3.19554,29.0355,28.711199999999998,32.1855,0.0342311,33.6876,31.1085,29.180400000000002,29.538700000000002,32.698,31.390800000000002,0.35829999999999984,0.4692000000000043,2.3973000000000013,4.652100000000004,3.6625000000000014,2.579100000000004,3.9682539682539684,91.66666666666667,93.65079365079364,21.825396825396826,73.80952380952381,58.333333333333336,12.913467217956299,0.0,128.00060000000002,115.3407,19.476002456238483,True,True,True,31.938573030799766,31.902140605941653,2026-08-21,148.99,377304559.0,3.42311,9868891,33533.8,Major Pharmaceuticals,0000-00-00,XLV,Healthcare,86,83,85.4288,9,560806,67.86,82.14,49.5,85.71,1470366070.0900002,True,True,88.85245901639345,,False,False,False,grab,False,True,10.813492063492063,53.05555555555556,305,270,,,,,True,Passed original surface
MRNA,2026-08-21,145.88,0.954203,98.1208,4.0,123.35300000000001,98.1208,96.1708,0.0986609,158.462,126.74099999999999,102.59400000000001,96.1752,134.507,106.351,-6.4188000000000045,4.473200000000006,28.620199999999983,35.10899999999998,11.153999999999996,31.721000000000004,9.920634920634921,87.3015873015873,98.01587301587301,67.46031746031746,96.82539682539682,99.2063492063492,131.11533586818757,-13.491075134910757,67.3848,48.6558,116.48799135710131,True,True,True,208.1537811575834,208.1173487327253,2026-08-21,133.32,57854091.0,9.86609,18911507,119995.0,Biotechnology,0000-00-00,XLV,Healthcare,90,97,95.4203,10,998456,40.76,96.83,30.61,90.48,2521282113.24,True,True,99.672131147541,,False,False,False,grab,False,False,11.626984126984127,54.642857142857146,305,270,,,,,False,more than 5% below 20-day high
MSTR,2026-08-21,119.14,0.966967,78.2629,2.13138,81.9959,78.2629,81.6979,0.0379081,110.427,105.52699999999999,83.7787,74.7587,91.4984,94.4945,-9.019999999999996,5.515799999999999,27.264099999999985,28.4311,9.502499999999998,4.90000000000002,0.3968253968253968,98.41269841269842,97.22222222222223,1.9841269841269842,79.36507936507937,80.55555555555556,27.61353898886032,0.0,99.99640000000004,144.09525000000002,19.14428919441096,False,False,True,-27.600875060768104,-27.637307485626216,2026-08-21,112.39,47332137.0,3.79081,18964045,426973.9,Application Software,0000-00-00,XLK,Technology,95,81,96.6967,9,3170021,55.29,81.35,99.64,95.24,2131369017.55,True,True,7.213114754098362,,False,False,False,grab,False,True,10.119047619047619,53.69047619047619,305,270,,,,,True,Passed original surface
NEM,2026-08-21,131.99,0.87941,45.6882,2.32133,45.5096,45.6882,48.526799999999994,0.0456977,56.245999999999995,52.117999999999995,47.152100000000004,44.8237,46.9396,45.095800000000004,-2.328400000000002,1.4639000000000024,6.429799999999993,10.736399999999996,1.4299999999999997,4.128,2.380952380952381,94.44444444444444,96.42857142857143,8.73015873015873,73.01587301587301,44.84126984126984,12.61945392491468,0.0,101.4716,106.33515,30.075804461543942,True,True,True,21.750760999907758,21.714328575049645,2026-08-21,127.64,139076843.0,4.56977,7394695,28022.55,Gold,0000-00-00,XLB,Materials,100,64,87.941,8,608188,54.48,64.29,100.0,100.0,943858869.8,True,True,82.62295081967214,,False,False,False,grab,False,True,10.515873015873016,53.29365079365079,305,270,,,,,True,Passed original surface
CPNG,2026-08-24,16.41,0.888371,44.222,3.33637,45.5314,44.222,50.2331,0.0471759,57.2476,46.9125,44.462,45.1359,57.5816,47.9907,0.6738999999999962,0.240000000000002,2.6905,11.7162,12.050200000000004,10.335099999999997,8.73015873015873,72.22222222222223,94.44444444444444,62.301587301587304,87.6984126984127,45.63492063492063,4.190476190476189,-2.7843601895734538,16.971799999999998,19.8846,-3.310196914882324,True,False,False,1.9888129272840338,3.457904850066118,2026-08-24,16.45,29497167.0,4.71759,17914289,24800.2,E-commerce & Internet Retail,0000-00-00,XLY,C. Cyclical,38,46,88.8371,10,620083,49.98,46.03,14.83,38.1,294690054.05,True,True,46.557377049180324,,False,False,False,grab,False,True,12.261904761904763,53.829365079365076,305,270,,,,,True,Passed original surface
JNJ,2026-08-24,272.8,0.93436,21.804100000000002,2.96517,22.557199999999998,21.804100000000002,24.7146,0.0271709,25.7788,23.4545,21.897,22.359,24.0871,23.7715,0.4620000000000033,0.09289999999999665,1.6503999999999976,3.2216000000000022,1.5299000000000014,2.324300000000001,4.365079365079365,86.9047619047619,93.25396825396825,3.9682539682539684,77.77777777777777,55.95238095238095,3.991156177333899,-0.4960606944849788,255.4366,232.26055,6.797538019218874,True,True,True,16.09498680738788,17.564078730169964,2026-08-24,270.24,657420337.0,2.71709,6948484,30361.7,Major Pharmaceuticals,0000-00-00,XLV,Healthcare,24,67,93.436,7,369497,60.75,67.46,15.25,23.81,1877758316.16,True,True,75.73770491803279,,True,False,False,grab,False,True,21.091269841269842,53.21428571428571,305,270,,,,,True,Passed original surface
MRNA,2026-08-24,139.05,0.973571,92.47710000000001,4.0,111.58300000000001,92.47710000000001,93.6315,0.0945002,143.941,114.494,97.4352,90.05499999999999,117.255,96.58670000000001,-7.380200000000002,4.9580999999999875,22.016899999999993,32.35799999999999,5.671999999999983,29.447000000000003,6.349206349206349,90.47619047619048,97.22222222222223,32.142857142857146,95.23809523809524,98.41269841269842,114.68272348309405,-17.541362746842193,69.16820000000001,49.232,101.03168797221844,True,True,True,196.3554987212276,197.82459064400967,2026-08-24,145.13,55145403.0,9.45002,22835206,127529.45,Biotechnology,0000-00-00,XLV,Healthcare,86,95,97.3571,10,843988,37.6,94.84,26.9,85.71,3314073446.7799997,True,True,99.672131147541,,False,False,False,grab,False,False,11.11111111111111,54.48412698412698,305,270,,,,,False,more than 5% below 20-day high
MSTR,2026-08-24,122.28,0.966788,77.7847,2.20233,85.918,77.7847,80.51,0.0421252,111.00399999999999,98.3108,83.7063,75.6117,94.78259999999999,89.5644,-8.0946,5.921599999999998,20.5261,25.085999999999984,8.864599999999982,12.69319999999999,1.1904761904761905,99.60317460317461,94.84126984126983,1.5873015873015872,98.01587301587301,88.0952380952381,25.03067484662578,0.0,100.0394,143.46020000000001,22.231840654782008,False,False,True,-23.65134865134865,-22.182256728566564,2026-08-24,119.25,48579601.0,4.21252,20324217,437998.85,Application Software,0000-00-00,XLK,Technology,90,79,96.6788,9,2595783,54.13,79.37,94.85,90.48,2423662877.25,True,True,13.442622950819672,,False,False,False,grab,False,True,10.13888888888889,54.38492063492064,305,270,,,,,True,Passed original surface
RBLX,2026-08-24,38.64,0.909532,58.39339999999999,3.81338,60.893299999999996,58.39339999999999,67.9866,0.0682984,70.296,63.90369999999999,59.975199999999994,57.516400000000004,60.968,58.2094,-2.4587999999999894,1.5818000000000012,5.510300000000001,9.40270000000001,0.0747000000000071,6.392300000000013,2.7777777777777777,90.47619047619048,91.26984126984127,4.365079365079365,76.98412698412699,40.87301587301587,2.602230483271395,-22.37846524708719,46.6392,62.7474,-17.151237585550362,False,False,False,-19.717431955121544,-18.24834003233946,2026-08-24,38.37,27603486.0,6.82984,15875533,33665.55,Gaming & Interactive Media,0000-00-00,XLC,Comm,14,40,90.9532,9,393115,33.71,40.48,8.34,19.05,609144201.2099999,True,True,15.081967213114755,,False,False,False,grab,False,False,10.753968253968255,52.976190476190474,305,270,,,,,False,more than 5% below 20-day high
ABBV,2026-08-25,265.74,0.906381,24.4468,3.7541,25.3106,24.4468,28.4973,0.0274038,27.416,24.6559,24.2244,25.657999999999998,28.367700000000003,29.663899999999998,1.4335999999999984,-0.22240000000000038,0.2090999999999994,2.1053999999999995,3.057100000000002,2.7601000000000013,9.920634920634921,86.9047619047619,89.28571428571429,17.46031746031746,79.36507936507937,38.095238095238095,3.0559218180407965,-0.3599550056242906,249.5164,227.07625,6.502017502657131,True,True,True,25.01293691489863,27.849466820302005,2026-08-25,264.52,470030914.0,2.74038,5347804,17045.8,Major Pharmaceuticals,0000-00-00,XLV,Healthcare,43,44,90.6381,9,255774,40.77,42.06,28.39,42.86,1414601114.08,True,True,85.57377049180329,,True,False,False,grab,False,True,21.6468253968254,52.8968253968254,305,271,,,,,True,Passed original surface
CPNG,2026-08-25,16.7,0.874719,43.5579,3.28768,44.3088,43.5579,49.4346,0.0493813,52.708999999999996,47.7586,44.1747,44.813900000000004,53.881299999999996,47.4053,0.6392000000000024,0.6168000000000049,4.200700000000005,8.400199999999998,9.572499999999998,4.950399999999995,8.333333333333334,82.14285714285714,85.71428571428571,46.03174603174603,73.01587301587301,42.06349206349206,6.505102040816313,-1.0663507109004766,16.9676,19.8169,-1.577123458827423,True,False,False,7.4646074646074645,10.301137370010839,2026-08-25,16.44,30018445.0,4.93813,17797322,25067.9,E-commerce & Internet Retail,0000-00-00,XLY,C. Cyclical,33,44,87.4719,10,629253,47.73,44.44,10.99,33.33,292587973.68,True,True,60.983606557377044,,False,False,False,grab,False,True,11.726190476190478,52.22222222222222,305,271,,,,,True,Passed original surface
TOST,2026-08-26,37.05,0.933184,39.1509,3.62261,40.1861,39.1509,46.5615,0.0358247,45.6174,39.5158,39.2802,39.8076,47.138600000000004,43.7857,0.5274000000000001,0.12930000000000064,0.36489999999999867,5.4313,6.952500000000001,6.101600000000005,4.365079365079365,80.55555555555556,87.6984126984127,32.93650793650794,78.96825396825396,11.904761904761905,5.1362088535754635,0.0,31.0658,30.21165,19.262983731305795,True,True,True,51.59574468085104,54.09756007263313,2026-08-26,36.8,21489000.0,3.58247,9631222,14558.4,Infrastructure Software,0000-00-00,XLF,Financials,43,8,93.3184,9,310116,14.28,7.94,10.19,42.86,354428969.59999996,True,True,97.05882352941177,,False,False,False,grab,False,False,11.408730158730158,52.71825396825396,306,271,,,,,False,IVR outside 30–70
ANF,2026-08-27,146.0,0.875335,51.293,4.0,57.89189999999999,51.293,50.17470000000001,0.10508,75.9134,61.057300000000005,51.960300000000004,52.3185,60.9462,56.084599999999995,0.3581999999999965,0.6673000000000044,9.764300000000006,18.021500000000003,3.054300000000005,14.85609999999999,9.920634920634921,81.34920634920636,95.63492063492063,11.11111111111111,84.92063492063492,78.17460317460318,39.459356194478936,-3.2600053008216223,100.7642,94.95685000000002,44.89272975918035,True,True,True,78.0922176140522,80.28843674670873,2026-08-27,147.75,6531825.0,10.50803,1824153,9131.95,Apparel Retail Stores,0000-00-00,XLY,C. Cyclical,10,29,87.5335,12,78276,25.83,28.57,5.0,9.52,269518605.75,True,True,98.68421052631578,,False,False,False,grab,False,False,11.924603174603174,53.80952380952381,304,270,,,,,False,IVR outside 30–70
AVGO,2026-08-27,369.59,0.962516,45.2324,2.20344,70.16029999999999,50.7622,45.9398,0.0192026,77.0253,55.97689999999999,46.9874,44.6186,70.2758,52.1993,-2.3688000000000002,1.7550000000000026,5.2146999999999935,6.865000000000009,0.11550000000001148,21.048400000000008,2.7777777777777777,97.61904761904762,93.65079365079364,0.7936507936507936,97.61904761904762,94.04761904761905,1.3964334705075299,-13.158203905166943,387.0054,369.27865,-4.500040567909402,False,True,False,-13.418605195961309,-11.222386063304779,2026-08-27,355.59,1737793226.0,1.92026,19704247,242988.45,Semiconductors,0000-00-00,XLK,Technology,43,17,96.2516,0,2193138,35.15,25.79,31.07,57.14,7006633190.73,True,True,22.36842105263158,,False,False,False,grab,True,False,10.396825396825397,24.246031746031747,304,270,,,,,False,more than 5% below 20-day high; near-front earnings flag
CRDO,2026-08-27,236.38,0.911408,78.4163,2.61684,117.193,92.4701,87.4701,0.0930881,126.49999999999999,98.7355,80.25139999999999,78.10249999999999,114.188,95.0705,-2.1488999999999976,1.8350999999999829,6.2654,9.306999999999988,-3.0049999999999955,27.764499999999984,7.936507936507937,90.47619047619048,85.31746031746032,0.3968253968253968,95.63492063492063,82.53968253968254,2.4665135029693586,-16.951832203211183,239.5862,174.07605,-1.3382239878590663,True,True,False,5.118512918575169,7.314732051231698,2026-08-27,226.49,44079646.0,9.30881,4620082,17972.1,Semiconductors,0000-00-00,XLK,Technology,14,14,91.1408,0,189591,23.73,13.89,3.22,14.29,1046402372.1800001,True,True,60.85526315789473,,True,False,False,grab,True,False,21.269841269841272,23.313492063492063,304,270,,,,,False,IVR outside 30–70; more than 5% below 20-day high; near-front earnings flag
