tradeDate,ticker,scenario,buy_surface_tier,sell_archetype,buy_first_put_tail_inventory,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,extension_50d_pct,relative_return_63d_pct,rs63_cross_section_pct,ivRank1y,iv30d,rr25,rr25_pct252,callskew,callskew_pct252,putskew,putskew_pct252,call_wing_30,call_wing_10,call_wing_10_pct252,call_kink,call_kink_pct252,put_wing_10_pct252,iv10d_pct252,avgOptVolu20d,oi,dollar_stock_volume,confidence_core,mktWidthVol,nextErn,wksNextErn,earnings_near_front_expiry,sector,sectorName,bestEtf,universe_size,liquid_universe_size,chain_confirmed,failure_reason,option_side,expiry,dte,leg1_action,leg1_strike,leg1_delta,leg1_bid,leg1_ask,leg1_oi,leg1_volume,leg2_action,leg2_strike,leg2_bid,leg2_ask,leg2_oi,leg2_volume,spread_width,entry_cash,target_leg2_price,contract_wing_iv_points,event_inside_expiry,long_otm_pct,selection_distance,lower_otm_pct
2026-08-27,TEVA,buy-first put-tail inventory,,,True,51.86079365079365,37.76,2.748299319727887,-0.4481940416556806,10.587849394344072,11.423873167947242,69.09722222222221,6.79,30.2701,0.8099999999999987,14.285714285714286,0.968700000000002,78.96825396825396,1.7787000000000006,17.46031746031746,3.7753000000000014,7.060799999999997,75.0,3.736699999999999,71.42857142857143,42.46031746031746,9.92063492063492,6730.5,391365,225719937.6,86.0313,4.58554,0000-00-00,9,False,Specialty & Generic Pharmaceuticals,Healthcare,XLV,288,256,False,no roughly $5-wide put spread 25-45% OTM in current/next monthly,,,,,,,,,,,,,,,,,,,,,False,,,
2026-08-27,IREN,buy-first put-tail inventory,,,True,51.797777777777775,40.53,-4.522968197879862,-9.83314794215796,-3.557865280831507,-34.99578458654384,6.25,5.98,95.374,-4.167200000000008,17.063492063492063,3.943100000000001,83.73015873015873,-0.224100000000007,19.047619047619047,14.682999999999993,17.266999999999996,82.93650793650794,27.265,96.03174603174604,0.0,67.46031746031746,259138.65,2495755,1818203993.94,94.658,6.59114,0000-00-00,13,False,Investment Banking & Brokerage,Financials,XLF,288,256,False,spread debit outside 0.00-0.10; combined put quote widths exceed 0.10,put,2026-09-18,23.0,BTO,24.0,0.9818983374666801,0.06,0.14,377.0,0.0,STO,19.0,0.02,0.05,1407.0,2.0,5.0,0.12000000000000001,,,False,40.784603997039234,8.284603997039234,
2026-08-31,NEE,buy-first put-tail inventory,,,True,51.77190476190477,82.26,-2.2227505051705565,-5.6218448829738366,-5.28322916714642,1.8308263226538448,47.05882352941176,7.99,20.6946,1.1312999999999995,13.492063492063492,-0.1412999999999975,71.82539682539682,0.990000000000002,12.698412698412698,0.9413000000000018,0.6609000000000016,26.58730158730159,0.0718999999999994,39.68253968253968,4.365079365079365,8.333333333333334,26858.85,452479,868058138.64,86.86,2.63069,0000-00-00,8,False,Regulated Electric Utilities,Utilities,XLU,289,251,False,no roughly $5-wide put spread 25-45% OTM in current/next monthly,,,,,,,,,,,,,,,,,,,,,False,,,
2026-08-28,SBUX,buy-first put-tail inventory,,,True,51.750476190476185,108.06,1.0851262862488165,-0.8623853211009114,2.8406322329150857,11.950170096370485,70.13888888888889,9.44,25.1837,0.9425999999999988,8.333333333333334,-0.0002999999999993,83.73015873015873,0.9422999999999996,10.714285714285714,8.355300000000003,1.2194000000000005,43.65079365079365,-8.615400000000001,10.714285714285714,3.1746031746031744,2.7777777777777777,18881.45,479597,782817266.9000001,80.6522,3.65795,0000-00-00,8,False,Restaurants,C. Cyclical,XLY,288,247,False,one leg lacks a two-sided put quote; combined put quote widths exceed 0.10,put,2026-10-16,50.0,BTO,70.0,0.9999474341641863,0.0,0.09,348.0,0.0,STO,65.0,0.01,0.08,237.0,1.0,5.0,0.08,,,False,35.22117342217287,2.7211734221728676,
2026-09-01,APP,buy-first put-tail inventory,,,True,51.735238095238095,312.34,0.930653396238612,-25.405999235766153,-22.365667301315884,-43.28143432397785,3.4722222222222223,11.36,53.677699999999994,-0.646099999999997,5.158730158730159,0.8043000000000049,94.04761904761904,0.1582000000000079,4.365079365079365,5.945799999999998,3.810299999999998,63.888888888888886,-3.8459999999999894,25.79365079365079,12.698412698412698,7.5396825396825395,48129.95,350720,1997717934.66,98.0174,3.98984,0000-00-00,9,False,Advertising & Marketing Services,Technology,XLK,288,252,False,one leg lacks a two-sided put quote; combined put quote widths exceed 0.10,put,2026-09-18,18.0,BTO,200.0,0.9998394203866717,0.0,0.1,55.0,3.0,STO,195.0,0.0,0.35,68.0,1.0,5.0,0.1,,,False,35.967215214189665,3.4672152141896646,
2026-08-26,UPS,buy-first put-tail inventory,,,True,51.672380952380955,105.92,3.2459304025733493,-2.852425937815284,-2.0782486502477493,3.5608746418536397,46.55172413793103,9.28,23.8408,0.7860999999999976,15.07936507936508,-0.2010000000000005,68.65079365079364,0.5850999999999971,5.158730158730159,1.452300000000001,2.0661000000000023,62.698412698412696,0.8946000000000005,60.714285714285715,6.349206349206349,15.476190476190476,24498.45,363579,573306550.88,93.667,2.05163,0000-00-00,8,False,Freight & Logistics Services,Industrials,XLI,290,257,False,no roughly $5-wide put spread 25-45% OTM in current/next monthly,,,,,,,,,,,,,,,,,,,,,False,,,
2026-08-24,RDDT,buy-first put-tail inventory,,,True,51.59936507936507,151.86,-8.202865260230908,-15.867036011080328,-12.12476824687002,8.79823179132404,60.207612456747405,8.48,57.7665,-1.4096999999999935,15.873015873015872,0.950799999999994,72.22222222222223,-0.4588999999999998,8.73015873015873,3.2746999999999957,5.922699999999992,57.93650793650794,3.623100000000001,62.698412698412696,11.904761904761903,9.523809523809524,65789.65,499705,1350527054.75,98.9532,4.18737,0000-00-00,9,False,Internet Content & Media,Comm,XLC,289,256,False,one leg lacks a two-sided put quote; combined put quote widths exceed 0.10,put,2026-09-18,26.0,BTO,90.0,0.9984437223592515,0.0,0.06,647.0,1.0,STO,85.0,0.0,0.56,72.0,0.0,5.0,0.06,,,False,40.734887396286055,8.234887396286055,
2026-08-25,APP,buy-first put-tail inventory,,,True,51.57285714285714,309.46,0.0840879689521401,-26.093809705769974,-26.32360853851905,-36.18132371852758,4.1522491349480966,10.57,53.566599999999994,-0.2697000000000074,6.349206349206349,0.7550000000000097,93.65079365079364,0.4853000000000023,7.936507936507937,4.565600000000003,3.360500000000002,58.73015873015873,0.6079000000000008,40.87301587301587,1.5873015873015872,17.857142857142858,45089.8,348190,2139932423.2799995,98.9611,4.05641,0000-00-00,10,False,Advertising & Marketing Services,Technology,XLK,289,257,False,combined put quote widths exceed 0.10,put,2026-09-18,25.0,BTO,200.0,0.9979982746105536,0.05,0.15,62.0,0.0,STO,195.0,0.05,0.15,65.0,2.0,5.0,0.09999999999999999,,,False,35.37129192787436,2.87129192787436,
2026-08-27,UPST,buy-first put-tail inventory,,,True,51.50714285714285,30.32,5.534284719805083,-3.254626675175498,-1.212685959299098,-4.252407834328953,34.72222222222222,6.35,59.1576,-1.4142999999999972,18.253968253968253,1.8574999999999944,71.03174603174604,0.4431999999999974,17.46031746031746,7.296599999999998,7.559899999999992,53.96825396825397,1.941999999999993,57.53968253968254,7.142857142857143,5.555555555555555,19644.8,310846,146958089.73999998,87.8713,8.43571,0000-00-00,9,False,Credit & Lending Services,Financials,XLF,288,256,False,one leg lacks a two-sided put quote; combined put quote widths exceed 0.10,put,2026-09-18,23.0,BTO,22.5,0.9782219051243992,0.01,0.08,2630.0,14.0,STO,17.5,0.0,2.13,820.0,0.0,5.0,0.08,,,False,25.79155672823219,6.708443271767809,
2026-08-26,OKLO,buy-first put-tail inventory,,,True,51.40968253968254,41.25,-3.508771929824561,-14.401328076364385,-11.017826634683423,-36.50454273331032,5.517241379310345,6.13,78.8525,-3.983700000000013,24.603174603174605,2.5493000000000023,59.12698412698413,-1.4344000000000108,12.698412698412698,14.249399999999994,14.808599999999998,70.63492063492063,3.9542,53.96825396825397,0.0,11.11111111111111,58002.05,665733,415785743.61,92.1145,4.31654,0000-00-00,10,False,Independent Power Production,Utilities,XLU,290,257,False,one leg lacks a two-sided put quote; one put leg has OI below 25,put,2026-09-18,24.0,BTO,25.0,0.9932612527739324,0.02,0.06,11309.0,0.0,STO,20.0,0.0,0.05,8.0,0.0,5.0,0.06,,,False,39.39393939393939,6.893939393939391,
