ticker,session_date,captured,valid_rth_points,first,last,path,sha256
MSTR,2026-08-24,2026-08-28T09:49:13.369530+00:00,4681,2026-08-24 09:30:00-04:00,2026-08-24 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_2026-08-11_to_2026-08-27/hiro_ticker_followthrough_to_2026-08-28/ticker=MSTR/date=2026-08-24/normalized/hiro_series.csv,9e62454209a4933c3f2e6200a6c042644d30bb15399e28bf993392a27b4850fa
MSTR,2026-08-25,2026-08-28T09:49:13.369530+00:00,4681,2026-08-25 09:30:00-04:00,2026-08-25 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_2026-08-11_to_2026-08-27/hiro_ticker_followthrough_to_2026-08-28/ticker=MSTR/date=2026-08-25/normalized/hiro_series.csv,82c2d9ca2856aab584989385dd19afa93832af83b0c5d565ae5ed0ac06dc48c5
MSTR,2026-08-26,2026-08-28T09:49:13.369530+00:00,4681,2026-08-26 09:30:00-04:00,2026-08-26 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_2026-08-11_to_2026-08-27/hiro_ticker_followthrough_to_2026-08-28/ticker=MSTR/date=2026-08-26/normalized/hiro_series.csv,8887728a28c9bd5922c9ebc1e6935c752d6ad8497029401ce8f0ed5e234c26a3
MSTR,2026-08-27,2026-08-28T09:49:13.369530+00:00,4681,2026-08-27 09:30:00-04:00,2026-08-27 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_2026-08-11_to_2026-08-27/hiro_ticker_followthrough_to_2026-08-28/ticker=MSTR/date=2026-08-27/normalized/hiro_series.csv,ba507c5e1c55fe9dcb388c952f43e6311ddc5853b7decfa74672afa6fbb73a19
MSTR,2026-08-31,2026-09-03T12:04:45.074394+00:00,4681,2026-08-31 09:30:00-04:00,2026-08-31 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=MSTR/date=2026-08-31/normalized/hiro_series.csv,4c967506483f28c57ab6fc747e2a7bbc4b03341f72c7d8c75b9ff02768486356
MSTR,2026-09-01,2026-09-03T12:04:45.074394+00:00,4681,2026-09-01 09:30:00-04:00,2026-09-01 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=MSTR/date=2026-09-01/normalized/hiro_series.csv,fb08aab18f22f45608ab399bf9964eadbf5d4982b8ddaa08f24f4288f3f29e35
MSTR,2026-09-02,2026-09-03T12:04:45.074394+00:00,4681,2026-09-02 09:30:00-04:00,2026-09-02 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=MSTR/date=2026-09-02/normalized/hiro_series.csv,b2c1f8ca2d3836f281063962cfc1f52bcea983de19e3e45596dd08447bb2d6de
MSTR,2026-09-04,2026-09-04T22:19:33.238176+00:00,4681,2026-09-04 09:30:00-04:00,2026-09-04 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_pandar_approved_2026-08-11_to_2026-09-04/hiro_ticker_followthrough_to_2026-09-04/ticker=MSTR/date=2026-09-04/normalized/hiro_series.csv,ab25c42430c0d11c9cafd4a66e5d2f0a4b6cc454b9f8f96fe8590d0509ddbb67
NBIS,2026-08-28,2026-09-03T12:05:30.651648+00:00,4681,2026-08-28 09:30:00-04:00,2026-08-28 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=NBIS/date=2026-08-28/normalized/hiro_series.csv,fbbe710d4069f04f64037231469c02d59b65acbc6a47a85313284efbccb56798
NBIS,2026-08-31,2026-09-03T12:05:30.651648+00:00,4681,2026-08-31 09:30:00-04:00,2026-08-31 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=NBIS/date=2026-08-31/normalized/hiro_series.csv,e86978746632a76bbff465c55cd01b760f376ea1b9c297df465890b02020bbbb
