expiry,strike,dte,stock,delta,otm_pct,bid,ask,quote_width,width_pct_of_bid,oi,wing_mid_excess_points,wing_bid_excess_points,nearer_strike,nearer_ask,event_inside_estimate,all_original_contract_gates,without_delta_band,without_absolute_width,ticker,tradeDate,ivRank1y,rr25_pct252,call_wing_10_pct252,call_kink_pct252,original_surface_pass,grab_surface_pass,original_surface_exclusions,earnings_near_front_expiry,event_estimate_available,distance,band,eligible_contracts,front_5_12_contracts,fallback_13_19_contracts,nearer_delta,nearer_otm_pct,nearer_bid,nearer_oi,atm_iv_pct,bid_iv_pct,otm_in_atm_expected_moves,deferred_expiry,front_bid_minus_deferred_mid_points,deferred_event_inside_estimate,bid_excess_z,bid_excess_n,both_bid_richness_diagnostics,history_status,timing_status,hiro_signal_day,hiro_signal_points,hiro_signal_status,hiro_entry_day,hiro_entry_points,hiro_entry_status,hiro_entry_plus1_day,hiro_entry_plus1_points,hiro_entry_plus1_status,hiro_entry_plus2_day,hiro_entry_plus2_points,hiro_entry_plus2_status
2026-08-28,190.0,9,129.92,0.0792263391680315,46.24384236453203,0.94,1.02,0.08,8.51063829787235,30,28.27964658822242,26.86242974912978,187.5,1.4,False,False,True,False,MRNA,2026-08-20,58.35,1.1904761904761905,98.41269841269842,98.015873015873,False,True,more than 5% below 20-day high,False,True,0.0392263391680315,2–10,1,1,0,0.0838675440018742,44.31958128078819,0.86,0,135.9194727645578,162.78190251368758,2.1666931404120517,2026-09-11,28.524551432157708,False,,,True,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-20,0,no verified capture in frozen archive,2026-08-21,0,no verified capture in frozen archive,2026-08-24,0,no verified capture in frozen archive,2026-08-25,0,no verified capture in frozen archive
2026-08-28,150.0,9,112.06,0.0430813490575061,33.85686239514545,0.32,0.38,0.06,18.75,2474,28.332065544464413,26.563112232055257,145.0,0.5,False,True,True,True,MSTR,2026-08-20,54.85,0.0,96.42857142857144,88.88888888888889,True,True,passed original surface,False,True,0.0030813490575061,2–10,3,3,0,0.0605481878688994,29.394966981973948,0.43,442,83.7027986773772,110.26591090943244,2.5759172455176387,2026-09-11,8.469206964952903,False,3.913020732327528,60.0,True,existing prior-60-session matched-delta/DTE study; interpolated ATM basis,original MSTR cohort; see frozen replay coverage/results,2026-08-20,0,no verified capture in frozen archive,2026-08-21,4681,verified existing capture,2026-08-24,4681,verified existing capture,2026-08-25,4681,verified existing capture
2026-09-04,111.0,16,103.25,0.0967497419353733,7.506053268765123,0.23,0.27,0.04,17.39130434782609,98,3.1542370808569364,2.5767631876615296,110.0,0.34,False,False,True,False,WMT,2026-08-20,36.83,2.7777777777777777,99.6031746031746,82.93650793650794,False,False,five-day return <=0; more than 5% below 20-day high,False,True,0.0567497419353733,2–10,1,0,1,0.1225577966023554,6.537530266343827,0.3,61,23.912493485222075,26.48925667288361,1.499247103141607,2026-09-11,0.9594046554305624,False,,,True,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-20,0,no verified capture in frozen archive,2026-08-21,0,no verified capture in frozen archive,2026-08-24,0,no verified capture in frozen archive,2026-08-25,0,no verified capture in frozen archive
2026-08-26,400.0,6,368.59,0.0365737883804615,8.521663637103561,0.27,0.3,0.0299999999999999,11.1111111111111,261,3.6395813520036735,3.256305932418452,397.5,0.4,False,True,True,True,AVGO,2026-08-21,23.23,2.7777777777777777,94.04761904761904,1.5873015873015872,False,False,kink rank <70; five-day return <=0; IVR outside 30–70; more than 5% below 20-day high; near-front earnings flag,True,True,0.0034262116195384,2–10,4,4,0,0.0484034064616662,7.843403239371671,0.3,47,36.114631246884464,39.37093717930292,1.8403990914008408,2026-09-11,-22.12490036352232,True,,,False,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-21,0,no verified capture in frozen archive,2026-08-24,0,no verified capture in frozen archive,2026-08-25,0,no verified capture in frozen archive,2026-08-26,0,no verified capture in frozen archive
2026-08-28,135.0,8,119.45,0.0608881386377078,13.01799916282964,0.2,0.23,0.03,15.0,7409,11.774462048986766,10.96773126744992,134.0,0.26,False,False,True,False,BABA,2026-08-21,48.85,30.555555555555557,90.47619047619048,60.31746031746032,False,False,kink rank <70; local RR rank >10; five-day return <=0; more than 5% below 20-day high,False,True,0.0208881386377078,2–10,9,4,5,0.0706565863964415,12.180828798660514,0.23,346,42.48669756373046,53.45442883118038,2.06962996071401,2026-09-11,3.201351481330139,False,,,True,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-21,0,no verified capture in frozen archive,2026-08-24,0,no verified capture in frozen archive,2026-08-25,0,no verified capture in frozen archive,2026-08-26,0,no verified capture in frozen archive
2026-08-28,235.0,8,185.09,0.0439841446712993,26.965260143713877,0.37,0.45,0.08,21.621621621621625,110,23.989533135980157,22.31480157970369,230.0,0.6,False,True,True,True,COIN,2026-08-21,69.04,0.3968253968253968,97.22222222222224,69.04761904761905,False,False,kink rank <70,False,True,0.0039841446712993,2–10,7,6,1,0.0548675830048,24.263871630017817,0.53,248,72.43333168056188,94.74813326026556,2.514592358642424,2026-09-11,5.032166878933664,False,,,True,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-21,4681,verified existing capture,2026-08-24,4681,verified existing capture,2026-08-25,4681,verified existing capture,2026-08-26,4681,verified existing capture
2026-08-28,125.0,8,106.91,0.0733041280469091,16.920774483210188,0.33,0.4,0.07,21.21212121212121,1151,8.443232084154706,6.781277436193434,124.0,0.44,False,False,True,False,HOOD,2026-08-21,45.04,4.365079365079365,88.88888888888889,61.507936507936506,False,False,kink rank <70,False,True,0.0333041280469091,2–10,5,3,2,0.0826311966653316,15.985408287344494,0.38,146,67.22202365609238,74.00330109228581,1.7002394694214351,2026-09-11,4.61349849245638,False,,,True,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-21,0,no verified capture in frozen archive,2026-08-24,0,no verified capture in frozen archive,2026-08-25,0,no verified capture in frozen archive,2026-08-26,0,no verified capture in frozen archive
2026-08-28,200.0,8,145.88,0.0809426110966678,37.09898546750754,1.15,1.25,0.1,8.695652173913052,3562,29.41576913971229,27.898344289443155,197.5,1.6,False,False,True,False,MRNA,2026-08-21,40.76,9.92063492063492,98.015873015873,96.82539682539682,False,True,more than 5% below 20-day high,False,True,0.0409426110966678,2–10,1,1,0,0.0887612606982617,35.38524814916371,1.01,10,127.35126046126686,155.24960475071,1.967706065099081,2026-09-11,27.905677713068865,False,,,True,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-21,0,no verified capture in frozen archive,2026-08-24,0,no verified capture in frozen archive,2026-08-25,0,no verified capture in frozen archive,2026-08-26,0,no verified capture in frozen archive
2026-08-28,160.0,8,119.14,0.0382844360139652,34.29578646969951,0.26,0.32,0.06,23.076923076923077,442,33.33335716200053,31.17944131021281,155.0,0.39,False,True,True,True,MSTR,2026-08-21,55.29,0.3968253968253968,97.22222222222224,79.36507936507937,True,True,passed original surface,False,True,0.0017155639860347,2–10,8,4,4,0.0540804112923037,30.09904314252141,0.34,1237,83.00035700983969,114.1797983200525,2.7910154774314075,2026-09-18,5.7311925398747965,False,4.0521401345778365,59.0,True,existing prior-60-session matched-delta/DTE study; interpolated ATM basis,original MSTR cohort; see frozen replay coverage/results,2026-08-21,4681,verified existing capture,2026-08-24,4681,verified existing capture,2026-08-25,4681,verified existing capture,2026-08-26,4681,verified existing capture
2026-08-28,90.0,8,72.71,0.0638083611013568,23.779397606931663,0.25,0.34,0.09,36.00000000000001,644,14.32963186248374,10.997799368955285,85.0,0.65,False,False,True,False,TEM,2026-08-21,69.45,0.7936507936507936,92.06349206349206,22.22222222222222,False,False,kink rank <70,False,True,0.0238083611013568,2–10,1,1,0,0.1264431893081922,16.902764406546567,0.48,276,85.33851677156105,96.33631614051632,1.8821628497792016,2026-09-18,-2.887136141962532,False,,,False,exact strike matched-history z-score not calculated,new selection has not received HIRO/minute-quote replay,2026-08-21,0,no verified capture in frozen archive,2026-08-24,0,no verified capture in frozen archive,2026-08-25,0,no verified capture in frozen archive,2026-08-26,0,no verified capture in frozen archive
