W,cons,r2,ddn,mag,cp,nx,pc,p,n_up,n_dn,days_up,days_dn,ep_up,ep_dn,fill_up,fill_dn,advS15_up,advL15_dn,ttf_up,ttf_dn,base_fill_up,base_adv15_up,base_fill_dn,base_adv15_dn,lift_up,lift_dn
15,0.6,0.7,0.5,1.0,False,False,False,8.0,2,1,1,1,1,1,1.0,0.0,0.0,0.0,7.0,,0.6,0.0,0.4,0.0,0.4,-0.4
15,0.6,0.7,0.5,1.0,False,False,True,3.0,12,7,4,3,7,5,0.6666666666666666,0.2857142857142857,0.0,0.0,4.0,25.5,0.45,0.016666666666666666,0.4857142857142857,0.0,0.21666666666666662,-0.2
15,0.6,0.7,0.5,1.0,False,False,True,5.0,6,1,3,1,3,1,0.5,0.0,0.0,0.0,5.0,,0.4666666666666667,0.0,0.4,0.0,0.033333333333333326,-0.4
15,0.6,0.7,0.5,1.0,False,False,True,8.0,2,1,1,1,1,1,1.0,0.0,0.0,0.0,7.0,,0.6,0.0,0.4,0.0,0.4,-0.4
15,0.6,0.7,0.5,1.0,False,True,False,3.0,15,7,4,3,7,5,0.5333333333333333,0.2857142857142857,0.0,0.0,4.0,25.5,0.39999999999999997,0.013333333333333332,0.4857142857142857,0.0,0.13333333333333336,-0.2
15,0.6,0.7,0.5,1.0,False,True,False,5.0,9,1,3,1,3,1,0.3333333333333333,0.0,0.0,0.0,5.0,,0.3777777777777777,0.0,0.4,0.0,-0.0444444444444444,-0.4
15,0.6,0.7,0.5,1.0,False,True,False,8.0,2,1,1,1,1,1,1.0,0.0,0.0,0.0,7.0,,0.6,0.0,0.4,0.0,0.4,-0.4
15,0.6,0.7,0.5,1.0,False,True,True,3.0,12,7,4,3,7,5,0.6666666666666666,0.2857142857142857,0.0,0.0,4.0,25.5,0.45,0.016666666666666666,0.4857142857142857,0.0,0.21666666666666662,-0.2
15,0.6,0.7,0.5,1.0,False,True,True,5.0,6,1,3,1,3,1,0.5,0.0,0.0,0.0,5.0,,0.4666666666666667,0.0,0.4,0.0,0.033333333333333326,-0.4
15,0.6,0.7,0.5,1.0,False,True,True,8.0,2,1,1,1,1,1,1.0,0.0,0.0,0.0,7.0,,0.6,0.0,0.4,0.0,0.4,-0.4
15,0.6,0.7,0.5,1.0,True,False,False,3.0,11,7,3,3,6,5,0.7272727272727273,0.2857142857142857,0.0,0.0,4.0,25.5,0.4727272727272727,0.01818181818181818,0.4857142857142857,0.0,0.2545454545454546,-0.2
15,0.6,0.7,0.5,1.0,True,False,False,5.0,5,1,2,1,2,1,0.6,0.0,0.0,0.0,5.0,,0.52,0.0,0.4,0.0,0.07999999999999996,-0.4
15,0.6,0.7,0.5,1.0,True,False,False,8.0,2,1,1,1,1,1,1.0,0.0,0.0,0.0,7.0,,0.6,0.0,0.4,0.0,0.4,-0.4
15,0.6,0.7,0.5,1.0,True,False,True,3.0,11,7,3,3,6,5,0.7272727272727273,0.2857142857142857,0.0,0.0,4.0,25.5,0.4727272727272727,0.01818181818181818,0.4857142857142857,0.0,0.2545454545454546,-0.2
15,0.6,0.7,0.5,1.0,True,False,True,5.0,5,1,2,1,2,1,0.6,0.0,0.0,0.0,5.0,,0.52,0.0,0.4,0.0,0.07999999999999996,-0.4
15,0.6,0.7,0.5,1.0,True,False,True,8.0,2,1,1,1,1,1,1.0,0.0,0.0,0.0,7.0,,0.6,0.0,0.4,0.0,0.4,-0.4
15,0.6,0.7,0.5,1.0,True,True,False,3.0,11,7,3,3,6,5,0.7272727272727273,0.2857142857142857,0.0,0.0,4.0,25.5,0.4727272727272727,0.01818181818181818,0.4857142857142857,0.0,0.2545454545454546,-0.2
15,0.6,0.7,0.5,1.0,True,True,False,5.0,5,1,2,1,2,1,0.6,0.0,0.0,0.0,5.0,,0.52,0.0,0.4,0.0,0.07999999999999996,-0.4
15,0.6,0.7,0.5,1.0,True,True,False,8.0,2,1,1,1,1,1,1.0,0.0,0.0,0.0,7.0,,0.6,0.0,0.4,0.0,0.4,-0.4
15,0.6,0.7,0.5,1.0,True,True,True,3.0,11,7,3,3,6,5,0.7272727272727273,0.2857142857142857,0.0,0.0,4.0,25.5,0.4727272727272727,0.01818181818181818,0.4857142857142857,0.0,0.2545454545454546,-0.2
15,0.6,0.7,0.5,1.0,True,True,True,5.0,5,1,2,1,2,1,0.6,0.0,0.0,0.0,5.0,,0.52,0.0,0.4,0.0,0.07999999999999996,-0.4
15,0.6,0.7,0.5,1.0,True,True,True,8.0,2,1,1,1,1,1,1.0,0.0,0.0,0.0,7.0,,0.6,0.0,0.4,0.0,0.4,-0.4
15,0.6,0.7,0.5,2.0,False,False,False,3.0,2,0,2,0,2,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.6,0.7,0.5,2.0,False,False,False,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
