min,all_L,all_Lc,all_Lp,nextExp_L,nextExp_Lc,nextExp_Lp,retail_L,retail_Lc,retail_Lp,open,high,low,close,r15,r30,n_r15,pull,run,dur,dC,dP,dN,dd,broke,rate,cpr,share,steep,fire,fire_first,min_to_3,min_to_5,adv_before_3,p_entry,day,lo_i,L_pk,rate_now,rate_prev,accel,resp_full,resp_recent,responding,giveback,cons,w5,w3,a10,minside,steep_ok,Q,inval
651,-4.051112771000001,-2.422553607000001,-1.6285591640000003,-3.2292120029999993,-1.9364985059999997,-1.2927134969999998,-0.3510760270000001,-0.449215751,0.09813972399999989,7793.97,7794.78,7793.35,7794.14,0.11328767899999903,-0.7235647060000008,-0.012084297999999993,3.0799999999999272,0.4568480739999998,10.0,0.17058385299999923,0.2862642209999997,0.2950161000000002,0.22993377700000073,False,2.741088443999999,0.5958965196701945,0.6457641320821248,False,True,True,,,14.199999999999818,7794.1,2026-08-14,71,-3.821178994,0.39644866799999434,5.085728220000004,-4.689279552000009,3.4365910449271566,-13.19999999999709,False,0.5033046872383242,0.6,0.0,0.0,1.0,0.17058385299999923,False,1,False
671,-5.055211545999998,-2.9413574590000016,-2.1138540870000004,-4.222846193,-2.4142061559999997,-1.808640037,-0.18449098700000013,-0.25177765300000005,0.06728666599999988,7788.62,7789.02,7788.12,7788.13,-0.32563429399999766,-0.5472507009999976,-0.19576912800000024,7.170000000000073,0.5106353130000016,12.0,0.39350189599999963,0.1171334169999998,0.4599185920000002,0.37151595599999965,False,2.5531765650000082,0.29766925697354174,0.9006791741408583,False,True,True,,,8.1899999999996,7788.09,2026-08-14,89,-4.683695589999998,-4.458191471999996,4.552812228000015,-9.01100370000001,-2.3304302889048256,-54.20000000000073,False,0.727556333339599,0.6666666666666666,0.0,0.0,0.0,0.1171334169999998,False,0,True
696,-5.589365499999998,-3.333025489000001,-2.2563400110000016,-4.691191905,-2.9925721149999984,-1.69861979,-0.26112161200000017,-0.500489584,0.23936797199999993,7784.2300000000005,7786.33,7784.12,7784.12,0.5120507850000005,-0.9056699099999994,0.660049645,5.920000000000073,1.0771499440000003,10.0,0.33051052900000055,0.7466394149999998,1.1011423900000006,0.0,False,6.462899664000002,0.4426641861654205,1.0222740075637977,False,True,True,24.0,42.0,3.75,7783.650000000001,2026-08-14,116,-5.589365499999998,5.507973755999998,7.417825572000005,-1.9098518160000069,2.5437498421294826,3.9215873126615146,True,0.0,0.8,1.0,1.0,0.0,0.33051052900000055,False,2,False
729,-4.547457212999998,-2.932084096000002,-1.6153731170000007,-3.8687220369999986,-2.5274105670000004,-1.3413114700000002,0.06333234699999983,-0.45371862799999996,0.5170509749999999,7784.49,7784.71,7782.63,7783.67,0.7883992409999996,1.0467177119999995,0.6682919020000009,3.0200000000004366,1.288451747999999,18.0,0.4036455539999997,0.8848061940000003,1.106373210000001,0.4528694730000007,False,4.294839159999997,0.4561965735967707,0.8586842399937524,True,True,True,5.0,9.0,0.4400000000005093,7783.72,2026-08-14,141,-4.094587739999997,-4.451355804000006,11.647921404000005,-16.09927720800001,1.9635970100758071,-45.40000000000873,False,0.35148345578557205,0.6111111111111112,1.0,1.0,0.0,0.4036455539999997,False,2,False
792,-5.042704843,-3.6054802070000016,-1.4372246360000003,-4.430399764999998,-3.0037260410000006,-1.4266737240000003,0.4708116229999998,-0.29140699299999995,0.7622186159999996,7782.02,7782.02,7780.67,7781.82,0.5555225279999991,-0.8822184279999998,0.4716666749999989,3.230000000000473,1.2724129449999992,10.0,0.600844451,0.6715684940000002,0.9256493689999985,0.1994486980000003,False,7.634477669999996,0.8946882654087102,0.7274755987333963,False,True,True,,,5.479999999999563,7781.79,2026-08-14,212,-4.843256145,2.5285244640000037,12.740430875999987,-10.211906411999983,2.679947585726469,5.884855065415479,True,0.15674840371888896,0.7,0.0,0.0,0.0,0.600844451,False,1,False
796,-5.165881524000001,-3.7206723570000015,-1.4452091670000002,-4.5357414869999975,-3.1086349510000004,-1.4271065360000001,0.4941795709999999,-0.285409414,0.7795889849999995,7781.9800000000005,7781.9800000000005,7779.72,7779.72,0.7634282319999981,0.13063871399999893,0.6268068079999987,3.199999999999818,1.149236263999998,14.0,0.485652301,0.6635839630000002,0.820307646999999,0.32262537900000154,False,4.925298274285706,0.731862624895894,0.7137850350674284,False,True,True,52.0,60.0,3.3400000000001455,7779.650000000001,2026-08-14,212,-4.843256145,-3.871504548000018,7.639974792000004,-11.511479340000022,1.1398874548570654,-45.200000000004366,False,0.2807302459087752,0.6428571428571429,1.0,0.0,0.0,0.485652301,False,1,False
805,-5.206601247000002,-3.899089671000002,-1.3075115760000005,-4.626890957999998,-3.27813248,-1.3487584780000004,0.5911425379999999,-0.294068035,0.8852105729999997,7779.55,7779.55,7778.55,7778.9400000000005,-0.08525515100000192,0.7121232619999978,-0.24856977200000063,3.0399999999999636,1.1085165409999975,23.0,0.30723498699999974,0.801281554,0.7291581759999985,0.5627857190000007,False,2.891782280869559,0.3834295017354159,0.657778345230845,False,True,True,37.0,48.0,2.7399999999997817,7779.05,2026-08-14,212,-4.643815528000001,-3.4357940520000128,-0.7128352559999982,-2.7229587960000146,0.4781164560003223,-49.20000000000073,False,0.5076926668972475,0.6086956521739131,1.0,0.0,0.0,0.30723498699999974,False,2,False
828,-5.526445076000001,-4.101709891000001,-1.4247351850000003,-4.997690332999998,-3.5020369019999995,-1.4956534310000007,0.5505735259999999,-0.33214648500000005,0.8827200109999996,7778.7,7778.79,7777.93,7778.07,-0.8863704429999997,-0.5847310289999994,-0.8288812060000001,3.880000000000109,0.3694099790000003,10.0,0.24085903900000094,0.12855094,0.3295957980000006,0.11746727800000034,False,2.2164598740000017,0.5337185622500117,0.8922222374507115,False,True,True,14.0,22.0,1.6700000000000728,7778.01,2026-08-14,248,-5.4089777980000004,4.162883292000004,0.2700364559999997,3.892846836000004,3.7898272369075205,3.4014885853765047,True,0.3179862068642175,0.6,1.0,1.0,0.0,0.12855094,False,1,True
650,-1.8585486849999997,-2.1882200940000005,0.32967140899999997,-0.9338978489999995,-1.21941567,0.2855178209999999,0.4402838459999998,-0.25099235800000014,0.6912762040000002,7773.29,7773.91,7772.92,7772.92,-0.20098960200000038,-0.5741801940000002,0.019237802000000137,3.4400000000005093,0.5871964479999998,12.0,0.3689935179999999,0.21820292999999996,0.703003065,0.10275199200000018,False,2.935982239999999,0.5913462414805889,1.1972195461918056,False,True,True,14.0,29.0,3.1900000000005093,7772.9400000000005,2026-08-17,68,-1.7557966929999995,0.19777635600000032,4.2402318119999975,-4.042455455999997,3.3719550020158913,-0.20000000000436557,False,0.17498742090483527,0.5833333333333334,1.0,1.0,0.0,0.21820292999999996,False,1,True
711,-0.5298376060000003,-1.749874166000001,1.2200365599999994,0.1762555290000003,-0.5961541250000002,0.7724096540000003,0.9569280799999998,-0.36320987000000016,1.3201379500000003,7773.1,7774.04,7773.03,7774.04,0.6649314919999998,-2.6617250749999997,0.517974036,4.289999999999964,1.644702872,10.0,0.5829456120000001,1.06175726,1.48484558,0.0,False,9.868217232000001,0.5490384986866019,0.9028047590105989,False,True,True,,,4.960000000000036,7774.02,2026-08-17,131,-0.5298376060000003,9.286759896,10.449674568000002,-1.162914672000003,2.3408483474694473,3.3079352049605193,True,0.0,0.7,0.0,0.0,0.0,0.5829456120000001,False,2,False
587,-0.3417421560000001,-0.06245019199999998,-0.279291964,0.024947782000000057,0.05723453799999999,-0.03228675599999995,-0.12253113200000001,-0.17372802199999998,0.05119688999999998,7705.45,7708.24,7705.31,7707.58,0.13231812199999998,,0.26315631200000006,6.1599999999998545,0.49503897199999997,10.0,0.26788809300000005,0.22715087899999997,0.546797743,0.30932375,False,2.9702338319999995,0.8479319721014996,1.1045549419894964,False,True,True,16.0,16.0,6.110000000000582,7707.110000000001,2026-08-18,7,-0.032418406000000094,-1.7564201759999998,7.696887839999999,-9.453308015999998,6.524738823996191,-86.40000000001237,False,0.6248472696004226,0.7,1.0,1.0,0.0,0.22715087899999997,False,1,False
622,-0.3726607690000002,-0.550871229,0.1782104599999998,0.9671467819999999,-0.1504049799999999,1.1175517619999997,0.3772424310000001,-0.05653678199999988,0.4337792130000001,7701.9400000000005,7703.47,7701.29,7702.1900000000005,0.02066716399999985,0.4427942829999998,0.38368794799999995,8.55999999999949,1.177828961,10.0,0.6473079660000001,0.530520995,1.171902863,0.307030175,False,7.066973765999999,0.8195805132421312,0.9949686260091885,False,True,True,2.0,2.0,0.0,7701.9400000000005,2026-08-18,42,-0.0656305940000002,2.5389542639999996,11.594993268000001,-9.056039004000002,4.448863267508576,2.268650554945828,True,0.2606746693843607,0.8,1.0,1.0,0.0,0.530520995,False,1,False
629,0.37528997399999986,-0.24111589899999988,0.6164058729999998,1.499931982,0.1383220820000001,1.3616098999999995,0.44935975900000014,-0.029086333999999887,0.4784460930000001,7708.06,7708.16,7705.59,7706.97,1.7381189190000002,1.184078146,1.5432609730000002,3.7799999999997453,1.925779704,17.0,0.9570632960000002,0.968716408,1.704688063,0.36038521199999995,False,6.796869543529411,0.9879705640332255,0.8851937007432498,True,True,True,1.0,3.0,0.0,7706.66,2026-08-18,42,0.7356751859999998,2.6929480320000008,5.681951112,-2.9890030799999994,5.20308734129251,-4.144157208899117,False,0.18713729885689975,0.7647058823529411,1.0,1.0,0.0,0.9570632960000002,False,2,False
634,0.620632318,-0.04071011499999988,0.661342433,1.6289026670000002,0.25072245000000015,1.3781802169999997,0.4908433990000002,0.033802282000000114,0.4570411170000001,7711.01,7712.09,7708.1900000000005,7708.1900000000005,0.9432506060000001,0.932509476,0.7255622710000003,3.5599999999994907,2.171122048,22.0,1.1574690800000003,1.0136529680000002,1.8336587480000002,0.4016533689999999,False,5.921241949090909,0.875749499934806,0.8445673285337113,False,True,True,4.0,,0.5399999999999636,7708.09,2026-08-18,42,1.0222856869999999,2.944108128000001,2.6929480320000008,0.25116009600000044,5.177046592270013,4.9726434504117,True,0.1849980609657555,0.7272727272727273,0.0,1.0,0.0,1.0136529680000002,False,3,False
641,0.857842405,0.08643343200000013,0.771408973,1.909058178,0.32675321300000015,1.5823049649999998,0.5454072250000003,0.03058882900000011,0.5148183960000001,7709.29,7710.04,7708.12,7708.75,0.17287935600000015,2.3423674930000002,0.04438184399999989,3.0,2.408332135,29.0,1.2846126270000002,1.1237195080000002,2.113814259,0.1644432819999999,False,4.982756141379311,0.8747535906012855,0.8777087795658218,True,True,True,,,14.599999999999454,7708.49,2026-08-18,42,1.0222856869999999,1.7590519439999994,0.3644957640000017,1.3945561799999977,4.899656417199358,-7.776916450173875,False,0.06828098151835685,0.7241379310344828,0.0,0.0,1.0,1.1237195080000002,False,4,True
710,2.504995673,0.7282559599999998,1.7767397130000002,4.002716456999999,0.9757386339999999,3.026977822999999,1.0215334139999999,0.21003069300000002,0.8115027210000005,7704.0,7704.0,7700.84,7701.12,1.553702977,2.315219584,1.3694919869999995,3.3100000000004,2.620569085,26.0,0.5256987349999999,2.0948703500000003,2.4440721439999993,0.18371538500000018,False,6.047467119230769,0.25094571365717205,0.9326493844370446,True,True,True,2.0,3.0,0.18999999999959982,7701.16,2026-08-18,114,2.688711058,4.568841972000001,10.906231175999999,-6.337389203999997,1.8545590069798417,-4.307437228210598,False,0.07010514855402111,0.8076923076923077,1.0,1.0,0.0,0.5256987349999999,False,3,False
791,4.341810942,1.5597967830000006,2.7820141590000005,5.7631842880000015,1.60870469,4.154479597999999,1.2121367660000002,0.109466903,1.1026698630000007,7706.52,7706.64,7705.18,7705.18,-0.038807238999999605,1.0931107489999996,-0.11091145199999985,3.3099999999994907,0.4699930790000004,10.0,0.15218672200000016,0.31780635699999893,0.3535803700000004,0.24411552699999994,False,2.8199584740000025,0.4788661983875945,0.7523097377355212,False,True,True,,,10.840000000000146,7705.12,2026-08-18,211,4.585926469,3.4740659640000047,2.1658509840000004,1.3082149800000042,1.468106725036495,-1.4162079969067183,False,0.5194023867742948,0.5,0.0,0.0,1.0,0.15218672200000016,False,2,False
852,1.9895314990000001,1.1539463620000003,0.8355851370000003,4.349485576000001,1.5220019509999998,2.827483624999999,0.9014292739999998,-0.03919839899999998,0.940627673000001,7695.400000000001,7696.56,7694.99,7696.56,0.11065602000000019,-0.9343441569999997,0.3559757849999996,4.779999999999745,0.6328421830000002,13.0,0.391996071,0.24084611200000017,0.7128299579999995,0.05907278599999999,False,2.9208100753846162,0.614409505140168,1.1263945058479126,False,True,True,1.0,3.0,0.0,7696.6,2026-08-18,269,2.048604285,2.7311478000000005,-0.5836377479999975,3.314785547999998,0.9006984921556949,2.5483791100573634,True,0.0933452092589093,0.7692307692307693,1.0,1.0,0.0,0.24084611200000017,True,3,False
865,4.540944922000001,1.9030830159999996,2.6378619060000004,6.208044458,1.9867806420000003,4.221263815999999,1.4768446489999991,0.126424312,1.350420337000001,7702.67,7702.67,7701.16,7701.33,2.913202829000001,2.2494254250000014,2.2116406459999984,3.1400000000003274,3.1842556060000016,26.0,1.1411327249999994,2.0431228810000004,2.5713888399999982,0.3916844019999992,False,7.348282167692312,0.5585237851388926,0.8075321702048052,True,True,True,,,5.450000000000728,7701.1900000000005,2026-08-18,269,4.9326293240000005,-0.45232569599999195,12.090150840000003,-12.542476535999995,1.6770010516549414,-32.39999999999782,False,0.12300658315932915,0.6923076923076923,0.0,0.0,0.0,1.1411327249999994,False,3,False
881,4.506938935000002,1.7027545419999999,2.8041843930000003,6.155714207000001,1.8634077330000003,4.292306473999997,1.4316435319999992,0.121904061,1.3097394710000012,7701.91,7702.09,7701.01,7701.22,-0.23182186099999935,2.7626552790000014,-0.2719761349999992,3.25,3.150249619000002,42.0,0.9408042509999995,2.2094453680000004,2.5190585889999992,0.5356604329999994,False,4.5003565985714316,0.4258101443131041,0.7996377727678721,True,True,True,,,5.420000000000073,7701.16,2026-08-18,269,5.042599368000001,-1.8972982799999905,-2.5499206200000017,0.6526223400000113,1.6601859003353059,-34.799999999995634,False,0.17003745664130468,0.5952380952380952,0.0,0.0,0.0,0.9408042509999995,False,2,False
884,4.442781291000002,1.6623010059999999,2.7804802850000003,6.166991793000001,1.8459091660000002,4.321082626999998,1.4294683489999993,0.12115171799999998,1.3083166310000012,7702.07,7702.14,7700.68,7701.1,-0.42614890199999955,1.2376291170000018,-0.37646651399999875,3.369999999999891,3.086091975000002,45.0,0.9003507149999995,2.1857412600000004,2.5303361749999995,0.5998180769999992,False,4.1147893000000035,0.41192008014708903,0.8199159958607513,True,True,True,,,5.190000000000509,7700.93,2026-08-18,269,5.042599368000001,-6.582862115999994,3.468014472,-10.050876587999994,1.6558158478088063,-41.599999999998545,False,0.19436169817978247,0.6,0.0,0.0,0.0,0.9003507149999995,False,2,True
910,3.107647925000003,1.0644366870000002,2.0432112380000005,5.178134184000002,1.4960000420000001,3.682134141999998,1.2297531659999996,0.03877952099999997,1.1909736450000012,7697.92,7698.900000000001,7697.88,7698.84,0.3784757460000008,-1.6625321709999987,0.36872934300000004,3.619999999999891,1.2620488670000007,10.0,0.45439863400000013,0.8076502329999999,0.9440849589999996,0.0,False,7.572293202000004,0.5626180931220014,0.7480573721714684,False,True,True,,,10.170000000000073,7698.8,2026-08-18,330,3.107647925000003,11.736966060000004,3.407620344000005,8.329345715999999,1.4737939620523992,1.871011630070192,True,0.0,0.8,0.0,0.0,1.0,0.45439863400000013,True,3,True
